"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","5"
"enum_id","7","6"
"enum_confirm_grp[1]/enum_details","2","12"
"enum_confirm_grp[1]/enum_confirm","2","12"
"community_id","10","13"
"comm_confirm_grp[1]/comm_details","2","21"
"comm_confirm_grp[1]/comm_confirm","2","21"
"u5_iden_grp[1]/u5_id","35","23"
"u5_iden_grp[1]/u5_fullname","35","23"
"u5_iden_grp[1]/u5_age","35","23"
"u5_iden_grp[1]/u5_ct_id","35","23"
"u5_iden_grp[1]/u5_ct_fullname","35","23"
"uf9","3","56"
"consent_grp[1]/consent","3","57"
"consented_grp[1]/ub0","4","59"
"consented_grp[1]/ub1_age_sel","7","62"
"consented_grp[1]/ub1_dob_my","13","69"
"consented_grp[1]/ub5","24","79"
"consented_grp[1]/ub8b","10","89"
"consented_grp[1]/ub6","7","100"
"consented_grp[1]/ub9","40","106"
"consented_grp[1]/ub10","10","156"
"consented_grp[1]/br1","10","168"
"consented_grp[1]/ec1","14","177"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","34","188"
"consented_grp[1]/ec2_grp[1]/ec2_label","34","188"
"consented_grp[1]/ec2_grp[1]/ec2a","34","188"
"consented_grp[1]/ec2_grp[1]/ec2b","34","188"
"consented_grp[1]/ec2_grp[1]/ec2c","34","188"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","30","221"
"consented_grp[1]/ec3_grp[1]/ec3a","30","221"
"consented_grp[1]/ec3_grp[1]/ec3b","30","221"
"consented_grp[1]/ec5_grp[1]/ec5","49","250"
"consented_grp[1]/ec5_grp[1]/ec5_label","49","250"
"consented_grp[1]/ec5_grp[1]/ec5a","49","250"
"consented_grp[1]/ec5_grp[1]/ec5b","49","250"
"consented_grp[1]/ec5_grp[1]/ec5c","49","250"
"consented_grp[1]/ec5_grp[1]/ec5d","49","250"
"consented_grp[1]/ec5_grp[1]/ec5e","49","250"
"consented_grp[1]/ec5_grp[1]/ec5f","49","250"
"consented_grp[1]/ec6_grp[1]/ec6_note","19","298"
"consented_grp[1]/ec6_grp[1]/ec6","19","298"
"consented_grp[1]/ec7","13","316"
"consented_grp[1]/ec8","11","328"
"consented_grp[1]/ec9","8","338"
"consented_grp[1]/ec10","9","345"
"consented_grp[1]/ec11","11","354"
"consented_grp[1]/ec12","7","364"
"consented_grp[1]/ec13","10","370"
"consented_grp[1]/ec14","8","377"
"consented_grp[1]/ec15","22","384"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","127","404"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","127","404"
"consented_grp[1]/ucd2_grp[1]/ucd2a","127","404"
"consented_grp[1]/ucd2_grp[1]/ucb2b","127","404"
"consented_grp[1]/ucd2_grp[1]/ucb2c","127","404"
"consented_grp[1]/ucd2_grp[1]/ucb2d","127","404"
"consented_grp[1]/ucd2_grp[1]/ucb2e","127","404"
"consented_grp[1]/ucd2_grp[1]/ucb2f","127","404"
"consented_grp[1]/ucd2_grp[1]/ucb2g","127","404"
"consented_grp[1]/ucd2_grp[1]/ucb2h","127","404"
"consented_grp[1]/ucd2_grp[1]/ucb2i","127","404"
"consented_grp[1]/ucd2_grp[1]/ucb2j","127","404"
"consented_grp[1]/ucd2_grp[1]/ucb2k","127","404"
"consented_grp[1]/ucd3","10","531"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","24","540"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","24","540"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","24","540"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","24","540"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","24","540"
"consented_grp[1]/ucf_grp[1]/ucf5","12","563"
"consented_grp[1]/ucf_grp[1]/ucf7b","9","574"
"consented_grp[1]/ucf_grp[1]/ucf9b","10","582"
"consented_grp[1]/ucf_grp[1]/ucf13","9","588"
"consented_grp[1]/ucf_grp[1]/ucf14","9","597"
"consented_grp[1]/ucf_grp[1]/ucf15","9","606"
"consented_grp[1]/ucf_grp[1]/ucf16","3","615"
"consented_grp[1]/ucf_grp[1]/ucf17","14","618"
"consented_grp[1]/ucf_grp[1]/ucf18","10","632"
"consented_grp[1]/ucf_grp[1]/ucf19","41","643"
"consented_grp[1]/im2","27","684"
"consented_grp[1]/im5","19","711"
"consented_grp[1]/ca1","10","731"
"consented_grp[1]/ca14","7","741"
"consented_grp[1]/ca15","13","748"
"consented_grp[1]/ca16","10","762"
"consented_grp[1]/ca17","12","771"
"consented_grp[1]/ca20","9","783"
"consented_grp[1]/ca21","11","792"
"consented_grp[1]/ca22","10","803"
"comments","896","811"
