"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","3"
"enum_id","8","5"
"enum_confirm_grp[1]/enum_details","2","13"
"enum_confirm_grp[1]/enum_confirm","2","13"
"community_id","9","14"
"comm_confirm_grp[1]/comm_details","1","23"
"comm_confirm_grp[1]/comm_confirm","1","23"
"hhid_grp[1]/hhid_instruction","10","24"
"hhid_grp[1]/hhid_struct_num","10","24"
"hhid_grp[1]/hhid_hh_num","10","24"
"hhid_confirm_grp[1]/hhid_details","22","32"
"hhid_confirm_grp[1]/hhid_confirm","22","32"
"consent_grp[1]/consent_instr","209","34"
"consent_grp[1]/consent","209","34"
"consented_grp[1]/hh_note","20","265"
"consented_grp[1]/hhm_cnt","313","284"
"consented_grp[1]/rooster_note","4","598"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","34","601"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","34","601"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","34","601"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","636"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","637"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","639"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","2","641"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","2","643"
"consented_grp[1]/hhm_rpt[1]/ed4","10","645"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","7","654"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","661"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","661"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","36","664"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","36","664"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","36","664"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","3","694"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","702"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","4","704"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","22","708"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","730"
"consented_grp[1]/hhm_rpt[2]/ed4","4","732"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","10","736"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","20","746"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","2","766"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","7","768"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","2","776"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","2","776"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","18","778"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","18","778"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","18","778"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","22","797"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","819"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","821"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","14","823"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","2","837"
"consented_grp[1]/hhm_rpt[3]/ed4","2","839"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","1","841"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","2","842"
