"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","5","8"
"comm_confirm_grp[1]/comm_details","2","14"
"comm_confirm_grp[1]/comm_confirm","2","14"
"hhid","9","15"
"hh_confirm_grp[1]/hh_details","4","22"
"hh_confirm_grp[1]/hh_confirm","4","22"
"Permission[1]/wm9a","39","23"
"Permission[1]/iw_consent","39","23"
"consented_grp[1]/wb3_age_sel","4","61"
"consented_grp[1]/wb3_dob_dmy","82","64"
"consented_grp[1]/wb5","8","77"
"consented_grp[1]/wb15","13","82"
"consented_grp[1]/mt2","21","93"
"consented_grp[1]/mt3","3","113"
"consented_grp[1]/mt4","4","115"
"consented_grp[1]/mt9","2","117"
"consented_grp[1]/mt11","4","119"
"consented_grp[1]/mt12","21","122"
"consented_grp[1]/cm1","3","142"
"consented_grp[1]/cm2","3","144"
"consented_grp[1]/cm2_grp[1]/cm3","6","147"
"consented_grp[1]/cm2_grp[1]/cm4","6","147"
"consented_grp[1]/cm5","6","151"
"consented_grp[1]/cm8","5","155"
"consented_grp[1]/cm12","6","159"
"consented_grp[1]/bh0","2","164"
"consented_grp[1]/bh_rpt[1]/bh1","18","165"
"consented_grp[1]/bh_rpt[1]/bh2","5","175"
"consented_grp[1]/bh_rpt[1]/bh3","4","177"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","3","179"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","13","182"
"consented_grp[1]/bh_rpt[1]/bh5","4","192"
"consented_grp[1]/bh_rpt[1]/bh6","6","194"
"consented_grp[1]/bh_rpt[1]/bh7","4","198"
"consented_grp[1]/bh_rpt[1]/bh8","13","200"
"consented_grp[1]/bh_rpt[1]/bh10","5","211"
"consented_grp[1]/cp1_grp[1]/cp1_note","3","214"
"consented_grp[1]/cp1_grp[1]/cp1","3","214"
"consented_grp[1]/cp2_grp[1]/cp2_note","37","216"
"consented_grp[1]/cp2_grp[1]/cp2","37","216"
"consented_grp[1]/ma1","7","251"
"consented_grp[1]/ma5","4","254"
"consented_grp[1]/af_grp[1]/af2","6","256"
"consented_grp[1]/af_grp[1]/af3","7","258"
"consented_grp[1]/af_grp[1]/af11","6","259"
"consented_grp[1]/compensation","9","270"
"consented_grp[1]/iw_resp_gift","10","276"
"consented_grp[1]/iw_resp_gift_amt","5","285"
"consented_grp[1]/gps_backup","54","289"
