"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","9","2"
"enum_confirm_grp[1]/enum_details","21","11"
"enum_confirm_grp[1]/enum_confirm","21","11"
"community_id","4","33"
"comm_confirm_grp[1]/comm_details","1","37"
"comm_confirm_grp[1]/comm_confirm","1","37"
"u5_iden_grp[1]/u5_id","44","38"
"u5_iden_grp[1]/u5_fullname","44","38"
"u5_iden_grp[1]/u5_age","44","38"
"u5_iden_grp[1]/u5_ct_id","44","38"
"u5_iden_grp[1]/u5_ct_fullname","44","38"
"gm1_a","1","82"
"gm1_b","1","84"
"gm2_rpt[1]/gm2_grp[1]/gm3","4","85"
"gm2_rpt[1]/gm2_grp[1]/gm4","1","89"
"gm2_rpt[1]/gm2_grp[1]/gm5","2","90"
"gm2_rpt[1]/gm2_grp[1]/gm6","5","93"
"gm2_rpt[1]/gm2_grp[1]/gm7","1","97"
"gmobs1","1","99"
"gmobs2","1","100"
"an8","6","101"
"an9","4","107"
"an11_grp[1]/an11_a","4","111"
"an11_grp[1]/an11","4","111"
"an12","6","115"
"an13","1","121"
"an15","1","122"
