"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","8","9"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"hhid_grp[1]/hhid_instruction","5","17"
"hhid_grp[1]/hhid_struct_num","5","17"
"hhid_grp[1]/hhid_hh_num","5","17"
"hhid_confirm_grp[1]/hhid_details","4","23"
"hhid_confirm_grp[1]/hhid_confirm","4","23"
"consent_grp[1]/consent_instr","4","26"
"consent_grp[1]/consent","4","26"
"consented_grp[1]/hh_note","1","30"
"consented_grp[1]/hhm_cnt","5","32"
"consented_grp[1]/rooster_note","4","36"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","21","40"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","21","40"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","21","40"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","61"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","1","63"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","64"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","14","65"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","2","79"
"consented_grp[1]/hhm_rpt[1]/ed4","2","81"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","3","83"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","3","83"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","17","86"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","17","86"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","17","86"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","5","103"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","1","108"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","109"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","15","111"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","1","126"
"consented_grp[1]/hhm_rpt[2]/ed4","2","128"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","3","129"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","9","132"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","2","141"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","2","143"
"consented_grp[1]/hhm_rpt[2]/ed9","6","144"
"consented_grp[1]/hhm_rpt[2]/ed15","3","151"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","2","153"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","2","153"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","25","156"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","25","156"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","25","156"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","6","180"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","182"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","3","184"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","7","187"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","2","193"
"consented_grp[1]/hhm_rpt[3]/ed4","2","196"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","6","198"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","4","201"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","7","204"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","3","209"
"consented_grp[1]/hhm_rpt[3]/ed9","3","211"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","8","212"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","5","214"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","6","234"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed13","4","240"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","3","244"
"consented_grp[1]/hhm_rpt[3]/ed15","16","247"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","2","262"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","3","263"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","2","268"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","2","268"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","18","270"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","18","270"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","18","270"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","2","288"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","2","290"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","1","292"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","11","293"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","2","303"
"consented_grp[1]/hhm_rpt[4]/ed4","1","305"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","1","307"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","2","308"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","1","310"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","4","311"
"consented_grp[1]/hhm_rpt[4]/ed9","2","315"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","2","317"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","1","318"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","4","320"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed13","2","322"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","9","324"
"consented_grp[1]/hhm_rpt[4]/ed15","7","326"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","2","342"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","2","342"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","19","344"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","19","344"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","19","344"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","2","363"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","1","365"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","1","367"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_dob_dmy","8","368"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","2","376"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","22","377"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","22","377"
"consented_grp[1]/hhm_ch_intro","1","399"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","1","400"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","1","401"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","2","402"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","10","405"
"consented_grp[1]/hhm_ch_rpt[1]/ch_15_17_consent_grp[1]/ch_15_17_consent","4","415"
"consented_grp[1]/hhm_ch_rpt[1]/ch_15_17_consent_grp[1]/ch_15_17_consent_yn","4","415"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","2","418"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","2","420"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","3","422"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","1","425"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","2","427"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl19","6","428"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl12","2","434"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13a","1","436"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13b","2","437"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl16","2","439"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17a","2","441"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl19","2","443"
"consented_grp[1]/u5_rpt[1]/u5_note","36","445"
"consented_grp[1]/u5_rpt[2]/u5_note","58","481"
"consented_grp[1]/hc_grp[1]/hc1a","6","540"
"consented_grp[1]/hc_grp[1]/hc1b","18","546"
"consented_grp[1]/hc_grp[1]/hc2","2","564"
"consented_grp[1]/hc_grp[1]/hc3","11","566"
"consented_grp[1]/hc_grp[1]/hc4","6","577"
"consented_grp[1]/hc_grp[1]/hc5","2","583"
