"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","1"
"enum_id","11","4"
"enum_confirm_grp[1]/enum_details","1","15"
"enum_confirm_grp[1]/enum_confirm","1","15"
"community_id","8","16"
"comm_confirm_grp[1]/comm_details","1","24"
"comm_confirm_grp[1]/comm_confirm","1","24"
"u5_iden_grp[1]/u5_id","178","26"
"u5_iden_grp[1]/u5_fullname","178","26"
"u5_iden_grp[1]/u5_age","178","26"
"u5_iden_grp[1]/u5_ct_id","178","26"
"u5_iden_grp[1]/u5_ct_fullname","178","26"
"gm1_a","11","194"
"gmobs1","1","214"
"gmobs2","1","216"
"an8","10","217"
"an9","2","227"
"an11_grp[1]/an11_a","6","229"
"an11_grp[1]/an11","6","229"
"an12","3","235"
"an13","3","238"
"an15","1","241"
