"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","8","8"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"iw_iden_grp[1]/iw_id","47","17"
"iw_iden_grp[1]/iw_fullname","47","17"
"iw_iden_grp[1]/iw_age","47","17"
"wm8","2","64"
"wm9_grp[1]/wm9b","2","66"
"wm9_grp[1]/consent","2","66"
"consented_grp[1]/wb3_age_sel","4","68"
"consented_grp[1]/wb3_dob_dmy","9","71"
"consented_grp[1]/wb5","2","80"
"consented_grp[1]/wb5_grp[1]/wb6","2","83"
"consented_grp[1]/wb5_grp[1]/wb6a","2","84"
"consented_grp[1]/wb5_grp[1]/wb6b","1","86"
"consented_grp[1]/wb5_grp[1]/wb7","3","88"
"consented_grp[1]/wb5_grp[1]/wb10a","6","89"
"consented_grp[1]/wb5_grp[1]/wb10b","1","97"
"consented_grp[1]/wb5_grp[1]/wb12a","2","98"
"consented_grp[1]/wb5_grp[1]/wb12b","1","99"
"consented_grp[1]/wb14_grp[1]/wb14_note","21","101"
"consented_grp[1]/wb14_grp[1]/wb14","21","101"
"consented_grp[1]/wb15","23","122"
"consented_grp[1]/wb16_grp[1]/wb16a","17","145"
"consented_grp[1]/wb16_grp[1]/wb16_note","17","145"
"consented_grp[1]/wb16_grp[1]/wb16b","17","145"
"consented_grp[1]/wb17a","4","161"
"consented_grp[1]/wb17b","1","166"
"consented_grp[1]/wb18","2","167"
"consented_grp[1]/mt1","2","169"
"consented_grp[1]/mt2","3","172"
"consented_grp[1]/mt3","13","175"
"consented_grp[1]/mt4","4","187"
"consented_grp[1]/mt9","3","191"
"consented_grp[1]/mt11","3","194"
"consented_grp[1]/mt12","9","197"
"consented_grp[1]/cm1","99","201"
"consented_grp[1]/cm2","4","305"
"consented_grp[1]/cm2_grp[1]/cm3","8","309"
"consented_grp[1]/cm2_grp[1]/cm4","8","309"
"consented_grp[1]/cm5","2","317"
"consented_grp[1]/cm5_grp[1]/cm6","8","319"
"consented_grp[1]/cm5_grp[1]/cm7","8","319"
"consented_grp[1]/cm8","5","327"
"consented_grp[1]/cm12","3","332"
"consented_grp[1]/bh0","2","335"
"consented_grp[1]/bh_rpt[1]/bh1","13","337"
"consented_grp[1]/bh_rpt[1]/bh2","2","349"
"consented_grp[1]/bh_rpt[1]/bh3","2","351"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","21","353"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","34","375"
"consented_grp[1]/bh_rpt[1]/bh5","3","406"
"consented_grp[1]/bh_rpt[1]/bh6","5","412"
"consented_grp[1]/bh_rpt[1]/bh7","3","416"
"consented_grp[1]/bh_rpt[1]/bh10","2","419"
"consented_grp[1]/bh_rpt[2]/bh1","10","421"
"consented_grp[1]/bh_rpt[2]/bh2","2","432"
"consented_grp[1]/bh_rpt[2]/bh3","2","434"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","2","435"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","17","438"
"consented_grp[1]/bh_rpt[2]/bh5","3","454"
"consented_grp[1]/bh_rpt[2]/bh6","8","457"
"consented_grp[1]/bh_rpt[2]/bh7","4","465"
"consented_grp[1]/bh_rpt[2]/bh8","10","469"
"consented_grp[1]/bh_rpt[2]/bh10","2","479"
"consented_grp[1]/bh_rpt[3]/bh1","7","481"
"consented_grp[1]/bh_rpt[3]/bh2","2","488"
"consented_grp[1]/bh_rpt[3]/bh3","2","489"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","2","491"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","15","493"
"consented_grp[1]/bh_rpt[3]/bh5","2","508"
"consented_grp[1]/bh_rpt[3]/bh6","8","509"
"consented_grp[1]/bh_rpt[3]/bh7","2","517"
"consented_grp[1]/bh_rpt[3]/bh8","5","519"
"consented_grp[1]/bh_rpt[3]/bh10","3","524"
"consented_grp[1]/db2","9","527"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","2","536"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","17","538"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","16","555"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","16","555"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","15","571"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","20","586"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","20","586"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","20","586"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","20","586"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","20","586"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","5","605"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","27","610"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","6","638"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","3","644"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","2","647"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","2","650"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","5","651"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","10","657"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","4","667"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","11","671"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","8","683"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","8","691"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","17","699"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","13","716"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","9","727"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","12","738"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","2","751"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","6","753"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","6","753"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","6","758"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","3","764"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","7","767"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","7","767"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","3","774"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","3","776"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","14","778"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","14","778"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","5","793"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","5","793"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","2","798"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","2","798"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","19","800"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","19","800"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","17","805"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","9","810"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","9","810"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","9","810"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","9","810"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","9","810"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn21","8","816"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn12","17","819"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn13_grp[1]/pn13b","31","827"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn13_grp[1]/pn13_units","31","827"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn21_grp[1]/pn21b","18","880"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn21_grp[1]/pn22_units","18","880"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn23","3","913"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn24","8","916"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","7","931"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","7","934"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","1","945"
"consented_grp[1]/cp1_grp[1]/cp1_note","5","946"
"consented_grp[1]/cp1_grp[1]/cp1","5","946"
"consented_grp[1]/cp2_grp[1]/cp2_note","6","951"
"consented_grp[1]/cp2_grp[1]/cp2","6","951"
"consented_grp[1]/cp3","3","957"
"consented_grp[1]/un7","8","960"
"consented_grp[1]/un8_grp[1]/un8","36","967"
"consented_grp[1]/un8_grp[1]/un8_units","36","967"
"consented_grp[1]/ma1","7","1004"
"consented_grp[1]/ma2","7","1010"
"consented_grp[1]/ma3","6","1017"
"consented_grp[1]/ma4","3","1023"
"consented_grp[1]/ma7","15","1027"
"consented_grp[1]/ma8a","43","1042"
"consented_grp[1]/ma11a","3","1084"
"consented_grp[1]/af_grp[1]/af2","2","1087"
"consented_grp[1]/af_grp[1]/af3","2","1089"
"consented_grp[1]/af_grp[1]/af4","2","1091"
"consented_grp[1]/af_grp[1]/af6b","1","1093"
"consented_grp[1]/af_grp[1]/af8b","1","1094"
"consented_grp[1]/af_grp[1]/af9","1","1096"
"consented_grp[1]/af_grp[1]/af10","1","1097"
"consented_grp[1]/af_grp[1]/af11","1","1098"
"consented_grp[1]/af_grp[1]/af12","1","1099"
"consented_grp[1]/ls1_grp[1]/ls_note","40","1100"
"consented_grp[1]/ls1_grp[1]/ls1","40","1100"
"consented_grp[1]/ls2_grp[1]/ls2_note","4","1140"
"consented_grp[1]/ls2_grp[1]/ls2","4","1140"
"consented_grp[1]/ls3","2","1145"
"consented_grp[1]/ls4","1","1146"
"consented_grp[1]/survey_language","5","1147"
"consented_grp[1]/survey_accomp","5","1149"
"consented_grp[1]/comment","8","1153"
