"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","200","2"
"enum_id","24","202"
"enum_confirm_grp[1]/enum_details","1","226"
"enum_confirm_grp[1]/enum_confirm","1","226"
"community_id","13","227"
"comm_confirm_grp[1]/comm_details","2","240"
"comm_confirm_grp[1]/comm_confirm","2","240"
"u5_iden_grp[1]/u5_id","297","242"
"u5_iden_grp[1]/u5_fullname","297","242"
"u5_iden_grp[1]/u5_age","297","242"
"u5_iden_grp[1]/u5_ct_id","297","242"
"u5_iden_grp[1]/u5_ct_fullname","297","242"
"gm1_a","2","539"
"gmobs1","5","541"
"gmobs2","1","546"
"an8","12","547"
"an9","2","559"
"an11_grp[1]/an11_b","4","561"
"an11_grp[1]/an11","4","561"
"an12","3","565"
"an13","2","568"
"an15","1","570"
