"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","8","6"
"enum_confirm_grp[1]/enum_details","1","14"
"enum_confirm_grp[1]/enum_confirm","1","14"
"community_id","6","15"
"comm_confirm_grp[1]/comm_details","1","21"
"comm_confirm_grp[1]/comm_confirm","1","21"
"u5_iden_grp[1]/u5_id","82","22"
"u5_iden_grp[1]/u5_fullname","82","22"
"u5_iden_grp[1]/u5_age","82","22"
"u5_iden_grp[1]/u5_ct_id","82","22"
"u5_iden_grp[1]/u5_ct_fullname","82","22"
"uf9","2","104"
"consent_grp[1]/consent","3","106"
"consented_grp[1]/ub0","2","109"
"consented_grp[1]/ub1_age_sel","5","111"
"consented_grp[1]/ub1_dob_dmy","14","116"
"consented_grp[1]/ub5","2","130"
"consented_grp[1]/ub9","2","132"
"consented_grp[1]/br1","13","135"
"consented_grp[1]/br2","6","148"
"consented_grp[1]/br3","2","154"
"consented_grp[1]/ec1","15","156"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","23","171"
"consented_grp[1]/ec2_grp[1]/ec2_label","23","171"
"consented_grp[1]/ec2_grp[1]/ec2a","23","171"
"consented_grp[1]/ec2_grp[1]/ec2b","23","171"
"consented_grp[1]/ec2_grp[1]/ec2c","23","171"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","32","194"
"consented_grp[1]/ec3_grp[1]/ec3a","32","194"
"consented_grp[1]/ec3_grp[1]/ec3b","32","194"
"consented_grp[1]/ec7","3","226"
"consented_grp[1]/ec8","3","229"
"consented_grp[1]/ec9","3","232"
"consented_grp[1]/ec10","7","235"
"consented_grp[1]/ec11","9","242"
"consented_grp[1]/ec12","10","251"
"consented_grp[1]/ec13","18","261"
"consented_grp[1]/ec14","9","279"
"consented_grp[1]/ec15","12","288"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","105","300"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","105","300"
"consented_grp[1]/ucd2_grp[1]/ucd2a","105","300"
"consented_grp[1]/ucd2_grp[1]/ucb2b","105","300"
"consented_grp[1]/ucd2_grp[1]/ucb2c","105","300"
