"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","5","11"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"u5_iden_grp[1]/u5_id","91","17"
"u5_iden_grp[1]/u5_fullname","91","17"
"u5_iden_grp[1]/u5_age","91","17"
"u5_iden_grp[1]/u5_ct_id","91","17"
"u5_iden_grp[1]/u5_ct_fullname","91","17"
"gm1_a","2","108"
"gmobs1","3","110"
"gmobs2","2","113"
"an8","7","115"
"an9","2","123"
"an11_grp[1]/an11_b","11","125"
"an11_grp[1]/an11","11","125"
"an12","2","137"
"an13","19","139"
"an15","2","157"
