"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","64","10"
"enum_confirm_grp[1]/enum_confirm","64","10"
"community_id","10","74"
"comm_confirm_grp[1]/comm_details","209","84"
"comm_confirm_grp[1]/comm_confirm","209","84"
"hhid_grp[1]/hhid_instruction","14","293"
"hhid_grp[1]/hhid_struct_num","14","293"
"hhid_grp[1]/hhid_hh_num","14","293"
"hhid_confirm_grp[1]/hhid_details","3","307"
"hhid_confirm_grp[1]/hhid_confirm","3","307"
"consent_grp[1]/consent_instr","312","310"
"consent_grp[1]/consent","312","310"
"consented_grp[1]/hh_note","2","623"
"consented_grp[1]/hhm_cnt","2","624"
"consented_grp[1]/rooster_note","12","626"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","57","638"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","57","638"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","57","638"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","5","695"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","700"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","701"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","2","704"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","10","706"
"consented_grp[1]/hhm_rpt[1]/ed4","4","713"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","720"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","720"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","21","722"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","21","722"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","21","722"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","742"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","4","744"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","748"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","3","750"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","753"
"consented_grp[1]/hhm_rpt[2]/ed4","7","755"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","3","762"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","3","762"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","18","765"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","18","765"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","18","765"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","3","783"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","786"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","3","789"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","17","792"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","2","809"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","6","811"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","6","811"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","2","814"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","2","814"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","2","814"
"consented_grp[1]/hhm_corr","0","829"
"consented_grp[1]/hhm_ch_intro","0","873"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","0","881"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","0","883"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","0","885"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","0","886"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","0","888"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","0","889"
"consented_grp[1]/u5_rpt[1]/u5_note","0","891"
"consented_grp[1]/hc_grp[1]/hc1a","0","927"
"consented_grp[1]/hc_grp[1]/hc1b","0","932"
"consented_grp[1]/hc_grp[1]/hc2","0","957"
"consented_grp[1]/hc_grp[1]/hc3","0","962"
"consented_grp[1]/hc_grp[1]/hc4","0","977"
"consented_grp[1]/hc_grp[1]/hc5","0","979"
"consented_grp[1]/hc_grp[1]/hc6","0","1013"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","0","1038"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","0","1038"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","0","1038"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","0","1038"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","0","1038"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","0","1038"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","0","1038"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","0","1038"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","0","1038"
"consented_grp[1]/hc_grp[1]/hc8","0","1059"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","0","1062"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","0","1062"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","0","1062"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","0","1062"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","0","1062"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","0","1062"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","0","1062"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","0","1062"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","0","1062"
"consented_grp[1]/hc_grp[1]/hc11","0","1158"
"consented_grp[1]/hc_grp[1]/hc12","0","1159"
"consented_grp[1]/hc_grp[1]/hc13","0","1164"
"consented_grp[1]/hc_grp[1]/hc14","0","1168"
"consented_grp[1]/hc_grp[1]/hc15","0","1174"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16a","0","1183"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16b","0","1183"
"consented_grp[1]/hc_grp[1]/hc17","0","1190"
"consented_grp[1]/hc_grp[1]/hc18","0","1222"
"consented_grp[1]/hc_grp[1]/hc19","0","1233"
"consented_grp[1]/st_intonote","0","1235"
"consented_grp[1]/st_rpt[1]/st1a","0","1237"
"consented_grp[1]/st_rpt[2]/st1a","0","1264"
"consented_grp[1]/st_rpt[3]/st1a","0","1269"
"consented_grp[1]/st_rpt[4]/st1a","0","1270"
"consented_grp[1]/st_rpt[5]/st1a","0","1274"
"consented_grp[1]/st_rpt[5]/st1_add_yn","0","1275"
"consented_grp[1]/st_rpt[6]/st_other_name","0","1278"
"consented_grp[1]/eu1","0","1297"
"consented_grp[1]/eu2","0","1303"
"consented_grp[1]/eu4_grp[1]/eu4","0","1305"
"consented_grp[1]/eu5_grp[1]/eu5","0","1307"
"consented_grp[1]/eu6","0","1310"
"consented_grp[1]/eu9","0","1320"
"consented_grp[1]/tn1","0","1328"
"consented_grp[1]/tn2","0","1330"
"consented_grp[1]/tn_rpt[1]/generated_note_name_438","0","1333"
"consented_grp[1]/tn_rpt[1]/tn3","0","1334"
"consented_grp[1]/tn_rpt[1]/tn4","0","1336"
"consented_grp[1]/tn_rpt[1]/tn5","0","1362"
"consented_grp[1]/tn_rpt[1]/tn10","0","1367"
"consented_grp[1]/tn_rpt[1]/tn12","0","1369"
"consented_grp[1]/tn_rpt[1]/tn13","0","1371"
"consented_grp[1]/tn_rpt[1]/tn15","0","1373"
"consented_grp[1]/irs1","0","1378"
"consented_grp[1]/ws1","0","1387"
"consented_grp[1]/ws3","0","1409"
"consented_grp[1]/ws4","0","1411"
"consented_grp[1]/ws5","0","1416"
"consented_grp[1]/ws6","0","1421"
"consented_grp[1]/ws7","0","1436"
"consented_grp[1]/ws8","0","1452"
"consented_grp[1]/ws9","0","1468"
"consented_grp[1]/ws11","0","1512"
"consented_grp[1]/ws14","0","1519"
"consented_grp[1]/ws15","0","1565"
"consented_grp[1]/ws16","0","1568"
"consented_grp[1]/hw1_grp[1]/hw1_note","0","1585"
"consented_grp[1]/hw1_grp[1]/hw1","0","1585"
"consented_grp[1]/hw5","0","1587"
"consented_grp[1]/death_note","0","1589"
"consented_grp[1]/dc0a","0","1605"
"consented_grp[1]/main_respondent","0","1606"
"consented_grp[1]/survey_language","0","1609"
"consented_grp[1]/survey_accomp","0","1611"
"gps_backup","0","1613"
"comments","0","1617"
