"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","8","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","7","11"
"comm_confirm_grp[1]/comm_details","2","18"
"comm_confirm_grp[1]/comm_confirm","2","18"
"iw_iden_grp[1]/iw_id","31","20"
"iw_iden_grp[1]/iw_fullname","31","20"
"iw_iden_grp[1]/iw_age","31","20"
"wm8","4","51"
"wm9_grp[1]/wm9a","6","55"
"wm9_grp[1]/consent","6","55"
"consented_grp[1]/wb3_age_sel","3","61"
"consented_grp[1]/wb4_age_est","2","64"
"consented_grp[1]/wb5","4","65"
"consented_grp[1]/wb5_grp[1]/wb6","2","69"
"consented_grp[1]/wb5_grp[1]/wb6a","4","71"
"consented_grp[1]/wb5_grp[1]/wb6b","3","75"
"consented_grp[1]/wb5_grp[1]/wb7","1","78"
"consented_grp[1]/wb5_grp[1]/wb9","4","79"
"consented_grp[1]/wb5_grp[1]/wb10a","2","83"
"consented_grp[1]/wb5_grp[1]/wb10b","2","85"
"consented_grp[1]/wb5_grp[1]/wb11","3","87"
"consented_grp[1]/wb5_grp[1]/wb12a","1","90"
"consented_grp[1]/wb5_grp[1]/wb12b","1","91"
"consented_grp[1]/wb14_grp[1]/wb14_note","33","93"
"consented_grp[1]/wb14_grp[1]/wb14","33","93"
"consented_grp[1]/wb15","83","125"
"consented_grp[1]/wb16_grp[1]/wb16a","8","208"
"consented_grp[1]/wb16_grp[1]/wb16_note","8","208"
"consented_grp[1]/wb16_grp[1]/wb16b","8","208"
"consented_grp[1]/wb17a","2","216"
"consented_grp[1]/wb17b","1","218"
"consented_grp[1]/wb18","1","220"
"consented_grp[1]/mt1","1","221"
"consented_grp[1]/mt2","1","222"
"consented_grp[1]/mt3","1","223"
"consented_grp[1]/mt4","3","224"
"consented_grp[1]/mt9","1","227"
"consented_grp[1]/mt11","2","228"
"consented_grp[1]/mt12","3","229"
"consented_grp[1]/cm1","59","232"
"consented_grp[1]/cm2","4","292"
"consented_grp[1]/cm2_grp[1]/cm3","4","295"
"consented_grp[1]/cm2_grp[1]/cm4","4","295"
"consented_grp[1]/cm5","5","299"
"consented_grp[1]/cm8","5","302"
"consented_grp[1]/cm8_grp[1]/cm9","5","309"
"consented_grp[1]/cm8_grp[1]/cm10","5","309"
"consented_grp[1]/cm12","6","314"
"consented_grp[1]/bh0","2","320"
"consented_grp[1]/bh_rpt[1]/bh1","19","322"
"consented_grp[1]/bh_rpt[1]/bh2","2","341"
"consented_grp[1]/bh_rpt[1]/bh3","3","343"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","7","346"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","1","351"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","15","353"
"consented_grp[1]/bh_rpt[1]/bh5","2","368"
"consented_grp[1]/bh_rpt[1]/bh6","6","370"
"consented_grp[1]/bh_rpt[1]/bh7","2","376"
"consented_grp[1]/bh_rpt[1]/bh8","5","378"
"consented_grp[1]/bh_rpt[1]/bh10","2","384"
"consented_grp[1]/bh_rpt[2]/bh1","19","386"
"consented_grp[1]/bh_rpt[2]/bh2","3","405"
"consented_grp[1]/bh_rpt[2]/bh3","3","407"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","6","410"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","24","416"
"consented_grp[1]/bh_rpt[2]/bh5","2","440"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_note","44","442"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_a","44","442"
"consented_grp[1]/bh_rpt[2]/bh9_grp[1]/bh9_b","44","442"
"consented_grp[1]/bh_rpt[2]/bh10","3","486"
"consented_grp[1]/db2","10","489"
"consented_grp[1]/db4_b","9","496"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","6","507"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","6","510"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","10","518"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","10","518"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","5","529"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","15","534"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","15","534"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","15","534"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","15","534"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","15","534"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","9","546"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","5","555"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","5","556"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","3","567"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","4","570"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","22","574"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","5","596"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","2","601"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","4","602"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","5","606"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","3","611"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","21","614"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","4","635"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","7","639"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","7","639"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","11","646"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","6","656"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","8","663"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","8","663"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","4","670"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","1","675"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","24","676"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","24","676"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","4","700"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","4","700"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","2","703"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","2","703"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","2","705"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","2","705"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","3","707"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","12","710"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","12","710"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","12","710"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","12","710"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","12","710"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","2","722"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","7","724"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","13","727"
"consented_grp[1]/cp1_grp[1]/cp1_note","2","744"
"consented_grp[1]/cp1_grp[1]/cp1","2","744"
"consented_grp[1]/cp2_grp[1]/cp2_note","13","746"
"consented_grp[1]/cp2_grp[1]/cp2","13","746"
"consented_grp[1]/cp4","11","756"
"consented_grp[1]/cp3","5","770"
"consented_grp[1]/un7","17","774"
"consented_grp[1]/un11","5","792"
"consented_grp[1]/ma1","4","796"
"consented_grp[1]/ma5","5","801"
"consented_grp[1]/af_grp[1]/af2","3","806"
"consented_grp[1]/af_grp[1]/af3","2","809"
"consented_grp[1]/af_grp[1]/af4","2","811"
"consented_grp[1]/af_grp[1]/af6b","3","813"
"consented_grp[1]/af_grp[1]/af8b","2","816"
"consented_grp[1]/af_grp[1]/af9","3","818"
"consented_grp[1]/af_grp[1]/af10","3","821"
"consented_grp[1]/af_grp[1]/af11","2","824"
"consented_grp[1]/af_grp[1]/af12","4","827"
"consented_grp[1]/ls1_grp[1]/ls_note","3","831"
"consented_grp[1]/ls1_grp[1]/ls1","3","831"
"consented_grp[1]/ls2_grp[1]/ls2_note","4","834"
"consented_grp[1]/ls2_grp[1]/ls2","4","834"
"consented_grp[1]/ls3","6","837"
"consented_grp[1]/ls4","2","843"
"consented_grp[1]/survey_language","4","844"
"consented_grp[1]/survey_accomp","1","848"
"consented_grp[1]/comment","3","849"
