"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","6"
"enum_id","9","7"
"enum_confirm_grp[1]/enum_details","1","16"
"enum_confirm_grp[1]/enum_confirm","1","16"
"community_id","13","17"
"comm_confirm_grp[1]/comm_details","2","30"
"comm_confirm_grp[1]/comm_confirm","2","30"
"u5_iden_grp[1]/u5_id","63","33"
"u5_iden_grp[1]/u5_fullname","63","33"
"u5_iden_grp[1]/u5_age","63","33"
"u5_iden_grp[1]/u5_ct_id","63","33"
"u5_iden_grp[1]/u5_ct_fullname","63","33"
"uf9","1","95"
"consent_grp[1]/consent","1","97"
"consented_grp[1]/ub0","1","98"
"consented_grp[1]/ub1_age_sel","7","99"
"consented_grp[1]/ub1_dob_dmy","23","104"
"consented_grp[1]/ub5","2","129"
"consented_grp[1]/ub9","2","131"
"consented_grp[1]/br1","3","133"
"consented_grp[1]/ec1","5","136"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","32","141"
"consented_grp[1]/ec2_grp[1]/ec2_label","32","141"
"consented_grp[1]/ec2_grp[1]/ec2a","32","141"
"consented_grp[1]/ec2_grp[1]/ec2b","32","141"
"consented_grp[1]/ec2_grp[1]/ec2c","32","141"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","15","171"
"consented_grp[1]/ec3_grp[1]/ec3a","15","171"
"consented_grp[1]/ec3_grp[1]/ec3b","15","171"
"consented_grp[1]/ec7","2","188"
"consented_grp[1]/ec8","2","190"
"consented_grp[1]/ec9","6","192"
"consented_grp[1]/ec10","3","199"
"consented_grp[1]/ec11","9","202"
"consented_grp[1]/ec12","2","210"
"consented_grp[1]/ec13","8","212"
"consented_grp[1]/ec14","2","220"
"consented_grp[1]/ec15","13","222"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","64","229"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","64","229"
"consented_grp[1]/ucd2_grp[1]/ucd2a","64","229"
"consented_grp[1]/ucd2_grp[1]/ucb2b","64","229"
"consented_grp[1]/ucd2_grp[1]/ucb2c","64","229"
"consented_grp[1]/ucd2_grp[1]/ucb2d","64","229"
"consented_grp[1]/ucd2_grp[1]/ucb2e","64","229"
"consented_grp[1]/ucd2_grp[1]/ucb2f","64","229"
"consented_grp[1]/ucd2_grp[1]/ucb2g","64","229"
"consented_grp[1]/ucd2_grp[1]/ucb2h","64","229"
"consented_grp[1]/ucd2_grp[1]/ucb2i","64","229"
"consented_grp[1]/ucd2_grp[1]/ucb2j","64","229"
"consented_grp[1]/ucd3","11","299"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","25","310"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","25","310"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","25","310"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","25","310"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","25","310"
"consented_grp[1]/ucf_grp[1]/ucf5","12","335"
"consented_grp[1]/ucf_grp[1]/ucf7b","5","338"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","351"
"consented_grp[1]/ucf_grp[1]/ucf13","4","352"
"consented_grp[1]/ucf_grp[1]/ucf14","4","356"
"consented_grp[1]/ucf_grp[1]/ucf15","2","360"
"consented_grp[1]/ucf_grp[1]/ucf16","2","362"
"consented_grp[1]/ucf_grp[1]/ucf17","18","364"
"consented_grp[1]/ucf_grp[1]/ucf18","8","374"
"consented_grp[1]/ucf_grp[1]/ucf19","32","378"
"consented_grp[1]/bd_grp[1]/bd2","3","422"
"consented_grp[1]/bd_grp[1]/bd3","3","425"
"consented_grp[1]/bd_grp[1]/bd4","5","428"
"consented_grp[1]/bd_grp[1]/bd5","11","434"
"consented_grp[1]/bd_grp[1]/bd6","11","443"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","47","453"
