"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","6"
"enum_id","8","7"
"enum_confirm_grp[1]/enum_details","2","15"
"enum_confirm_grp[1]/enum_confirm","2","15"
"community_id","7","17"
"comm_confirm_grp[1]/comm_details","2","24"
"comm_confirm_grp[1]/comm_confirm","2","24"
"iw_iden_grp[1]/iw_id","59","26"
"iw_iden_grp[1]/iw_fullname","59","26"
"iw_iden_grp[1]/iw_age","59","26"
"wm8","2","85"
"wm9_grp[1]/wm9b","65","87"
"wm9_grp[1]/consent","65","87"
"consented_grp[1]/wb3_age_sel","2","152"
"consented_grp[1]/wb3_dob_dmy","14","154"
"consented_grp[1]/wb5","2","168"
"consented_grp[1]/wb5_grp[1]/wb6","2","170"
"consented_grp[1]/wb5_grp[1]/wb6a","4","173"
"consented_grp[1]/wb5_grp[1]/wb6b","2","177"
"consented_grp[1]/wb5_grp[1]/wb7","4","179"
"consented_grp[1]/wb5_grp[1]/wb9","3","183"
"consented_grp[1]/wb5_grp[1]/wb10a","8","186"
"consented_grp[1]/wb5_grp[1]/wb10b","2","194"
"consented_grp[1]/wb5_grp[1]/wb11","3","196"
"consented_grp[1]/wb5_grp[1]/wb12a","3","199"
"consented_grp[1]/wb5_grp[1]/wb12b","1","201"
"consented_grp[1]/wb15","9","202"
"consented_grp[1]/wb18","2","211"
"consented_grp[1]/mt1","4","213"
"consented_grp[1]/mt2","15","218"
"consented_grp[1]/mt3","2","232"
"consented_grp[1]/mt4","4","235"
"consented_grp[1]/mt9","2","239"
"consented_grp[1]/mt11","4","241"
"consented_grp[1]/mt12","23","245"
"consented_grp[1]/cm1","3","268"
"consented_grp[1]/cm2","27","271"
"consented_grp[1]/cm2_grp[1]/cm3","6","298"
"consented_grp[1]/cm2_grp[1]/cm4","6","298"
"consented_grp[1]/cm5","2","305"
"consented_grp[1]/cm5_grp[1]/cm6","7","307"
"consented_grp[1]/cm5_grp[1]/cm7","7","307"
"consented_grp[1]/cm8","2","314"
"consented_grp[1]/cm12","3","316"
"consented_grp[1]/bh0","1","320"
"consented_grp[1]/bh_rpt[1]/bh1","10","321"
