"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","55","2"
"enum_confirm_grp[1]/enum_details","1","57"
"enum_confirm_grp[1]/enum_confirm","1","57"
"community_id","2","58"
"comm_confirm_grp[1]/comm_details","1","60"
"comm_confirm_grp[1]/comm_confirm","1","60"
"u5_iden_grp[1]/u5_id","154","61"
"u5_iden_grp[1]/u5_fullname","154","61"
"u5_iden_grp[1]/u5_age","154","61"
"u5_iden_grp[1]/u5_ct_id","154","61"
"u5_iden_grp[1]/u5_ct_fullname","154","61"
"gm1_a","10","215"
"gm1_b","2","225"
"gm2_rpt[1]/gm2_grp[1]/gm3","1","226"
"gm2_rpt[1]/gm2_grp[1]/gm4","1","227"
"gm2_rpt[1]/gm2_grp[1]/gm5","1","228"
"gm2_rpt[1]/gm2_grp[1]/gm6","3","230"
"gm2_rpt[1]/gm2_grp[1]/gm7","2","233"
"gmobs1","7","234"
"gmobs2","2","241"
"an8","51","242"
"an9","1","294"
"an11_grp[1]/an11_a","10","296"
"an11_grp[1]/an11","10","296"
"an12","8","306"
"an13","1","315"
"an15","1","316"
