"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","9","11"
"comm_confirm_grp[1]/comm_details","1","19"
"comm_confirm_grp[1]/comm_confirm","1","19"
"hhid_grp[1]/hhid_instruction","7","20"
"hhid_grp[1]/hhid_struct_num","7","20"
"hhid_grp[1]/hhid_hh_num","7","20"
"hhid_confirm_grp[1]/hhid_details","2","27"
"hhid_confirm_grp[1]/hhid_confirm","2","27"
"consent_grp[1]/consent_instr","4","28"
"consent_grp[1]/consent","4","28"
"consented_grp[1]/hh_note","2","32"
"consented_grp[1]/hhm_cnt","6","33"
"consented_grp[1]/rooster_note","2","36"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","25","38"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","25","38"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","25","38"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","62"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","64"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","8","65"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","15","67"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","2","80"
"consented_grp[1]/hhm_rpt[1]/ed4","6","81"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","335","84"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","335","84"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","20","438"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","20","438"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","20","438"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","3","457"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","460"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","1","462"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","10","463"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","1","473"
"consented_grp[1]/hhm_rpt[2]/ed4","1","474"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","1","475"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","2","477"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","1","479"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","5","480"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","2","485"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","2","485"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","17","486"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","17","486"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","17","486"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","503"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","1","505"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","506"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","12","508"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","2","520"
"consented_grp[1]/hhm_rpt[3]/ed4","3","522"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","2","525"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","2","526"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","1","528"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","3","529"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","2","532"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","2","532"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","12","534"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","12","534"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","12","534"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","4","546"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","4","547"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","7","549"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","12","560"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","1","572"
"consented_grp[1]/hhm_rpt[4]/ed4","1","573"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","2","574"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","6","577"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","1","583"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","1","585"
"consented_grp[1]/hhm_rpt[4]/ed9","1","586"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","2","587"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","5","589"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","3","594"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","7","597"
"consented_grp[1]/hhm_rpt[4]/ed15","1","605"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","3","606"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","3","606"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","15","609"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","15","609"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","15","609"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","5","623"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","2","629"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","5","630"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_dob_dmy","22","635"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","1","657"
"consented_grp[1]/hhm_rpt[5]/ed4","3","659"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a","2","662"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a_a","2","663"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5b","1","665"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed6","1","667"
"consented_grp[1]/hhm_rpt[5]/ed9","1","668"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed10","1","669"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed11a","2","671"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed12","2","673"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed14","1","675"
"consented_grp[1]/hhm_rpt[5]/ed15","1","677"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","2","678"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","2","678"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","11","680"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","11","680"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","11","680"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl3","5","691"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl4","1","697"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_age_sel","5","698"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_dob_dmy","12","703"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl7","2","715"
"consented_grp[1]/hhm_rpt[6]/ed4","3","717"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5a","2","720"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5a_a","2","722"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5b","1","725"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed6","2","726"
"consented_grp[1]/hhm_rpt[6]/ed9","2","728"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed10","1","729"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed11a","5","731"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed12","2","736"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed14","1","738"
"consented_grp[1]/hhm_rpt[6]/ed15","11","739"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_note","5","750"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_yn","5","750"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","17","752"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","17","752"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","17","752"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl3","7","772"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl4","1","779"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl5_age_sel","4","781"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl5_dob_y","3","784"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl7","2","788"
"consented_grp[1]/hhm_rpt[7]/ed4","2","790"
"consented_grp[1]/hhm_rpt[7]/ed5_grp[1]/ed5a","20","792"
"consented_grp[1]/hhm_rpt[7]/ed5_grp[1]/ed5a_a","20","812"
"consented_grp[1]/hhm_rpt[7]/ed5_grp[1]/ed5b","2","832"
"consented_grp[1]/hhm_rpt[7]/ed5_grp[1]/ed6","2","834"
"consented_grp[1]/hhm_rpt[7]/hhm_add_grp[1]/hhm_add_note","3","836"
"consented_grp[1]/hhm_rpt[7]/hhm_add_grp[1]/hhm_add_yn","3","836"
"consented_grp[1]/hhm_ch_intro","47","839"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","5","886"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","1","891"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl15","2","892"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","3","894"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","3","897"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl19","3","900"
"consented_grp[1]/hhm_ch_rpt[1]/h20_grp[1]/hl20_ct","5","901"
"consented_grp[1]/hhm_ch_rpt[1]/h20_grp[1]/hl20_oth","19","907"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","3","927"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","3","930"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","2","933"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","5","936"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","2","938"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl12","2","942"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13a","1","945"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13b","1","946"
