"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","2","7"
"enum_confirm_grp[1]/enum_confirm","2","7"
"community_id","5","8"
"comm_confirm_grp[1]/comm_details","1","13"
"comm_confirm_grp[1]/comm_confirm","1","13"
"u5_iden_grp[1]/u5_id","56","14"
"u5_iden_grp[1]/u5_fullname","56","14"
"u5_iden_grp[1]/u5_age","56","14"
"u5_iden_grp[1]/u5_ct_id","56","14"
"u5_iden_grp[1]/u5_ct_fullname","56","14"
"gm1_a","2","70"
"gmobs1","4","72"
"gmobs2","9","76"
"an8","8","85"
"an9","5","93"
"an11_grp[1]/an11_b","19","98"
"an11_grp[1]/an11","19","98"
"an12","3","117"
"an13","2","120"
"an15","2","122"
