"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","6"
"enum_id","4","6"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","4","11"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"hhid_grp[1]/hhid_instruction","4","16"
"hhid_grp[1]/hhid_struct_num","4","16"
"hhid_grp[1]/hhid_hh_num","4","16"
"hhid_confirm_grp[1]/hhid_details","1","20"
"hhid_confirm_grp[1]/hhid_confirm","1","20"
"consent_grp[1]/consent_instr","122","21"
"consent_grp[1]/consent","122","21"
"consented_grp[1]/hh_note","2","143"
"consented_grp[1]/hhm_cnt","2","145"
"consented_grp[1]/rooster_note","1","147"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","13","149"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","13","149"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","13","149"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","162"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","1","163"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","1","164"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","7","166"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","1","173"
"consented_grp[1]/hhm_rpt[1]/ed4","1","174"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","2","176"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","1","178"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","1","179"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","4","180"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","184"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","184"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","9","186"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","9","186"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","9","186"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","1","195"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","196"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","1","198"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","6","199"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","1","205"
"consented_grp[1]/hhm_rpt[2]/ed4","1","206"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","2","207"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","2","208"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","1","210"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","4","212"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","2","215"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","2","215"
