"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","6","2"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","5","9"
"comm_confirm_grp[1]/comm_details","1","14"
"comm_confirm_grp[1]/comm_confirm","1","14"
"iw_iden_grp[1]/iw_id","50","15"
"iw_iden_grp[1]/iw_fullname","50","15"
"iw_iden_grp[1]/iw_age","50","15"
"wm8","7","65"
"wm9_grp[1]/wm9b","2","72"
"wm9_grp[1]/consent","2","72"
"consented_grp[1]/wb3_age_sel","2","74"
"consented_grp[1]/wb3_dob_dmy","29","76"
"consented_grp[1]/wb5","9","105"
"consented_grp[1]/wb5_grp[1]/wb6","1","115"
"consented_grp[1]/wb5_grp[1]/wb6a","2","116"
"consented_grp[1]/wb5_grp[1]/wb6b","1","118"
"consented_grp[1]/wb5_grp[1]/wb7","2","119"
"consented_grp[1]/wb5_grp[1]/wb10a","8","121"
"consented_grp[1]/wb5_grp[1]/wb10b","1","129"
"consented_grp[1]/wb5_grp[1]/wb12a","1","130"
"consented_grp[1]/wb5_grp[1]/wb12b","2","132"
"consented_grp[1]/wb14_grp[1]/wb14_note","12","134"
"consented_grp[1]/wb14_grp[1]/wb14","12","134"
"consented_grp[1]/wb15","23","146"
"consented_grp[1]/wb16_grp[1]/wb16a","57","170"
"consented_grp[1]/wb16_grp[1]/wb16_note","57","170"
"consented_grp[1]/wb16_grp[1]/wb16b","57","170"
"consented_grp[1]/wb17a","3","227"
"consented_grp[1]/wb17b","2","230"
"consented_grp[1]/wb18","2","231"
"consented_grp[1]/mt1","2","234"
"consented_grp[1]/mt2","15","236"
"consented_grp[1]/mt3","3","251"
"consented_grp[1]/mt4","6","254"
"consented_grp[1]/mt9","1","260"
"consented_grp[1]/mt11","1","261"
"consented_grp[1]/mt12","6","262"
"consented_grp[1]/cm1","11","268"
"consented_grp[1]/cm2","3","279"
"consented_grp[1]/cm2_grp[1]/cm3","17","283"
"consented_grp[1]/cm2_grp[1]/cm4","17","283"
"consented_grp[1]/cm5","7","299"
"consented_grp[1]/cm5_grp[1]/cm6","6","306"
"consented_grp[1]/cm5_grp[1]/cm7","6","306"
"consented_grp[1]/cm8","23","312"
"consented_grp[1]/cm8_grp[1]/cm9","13","333"
"consented_grp[1]/cm8_grp[1]/cm10","13","333"
"consented_grp[1]/cm12","5","348"
"consented_grp[1]/bh0","1","353"
