"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","8"
"enum_id","14","10"
"enum_confirm_grp[1]/enum_details","1","24"
"enum_confirm_grp[1]/enum_confirm","1","24"
"community_id","40","25"
"comm_confirm_grp[1]/comm_details","1","66"
"comm_confirm_grp[1]/comm_confirm","1","66"
"u5_iden_grp[1]/u5_id","126","67"
"u5_iden_grp[1]/u5_fullname","126","67"
"u5_iden_grp[1]/u5_age","126","67"
"u5_iden_grp[1]/u5_ct_id","126","67"
"u5_iden_grp[1]/u5_ct_fullname","126","67"
"uf9","2","193"
"consent_grp[1]/consent","3","195"
"consented_grp[1]/ub0","1","198"
"consented_grp[1]/ub1_age_sel","2","200"
"consented_grp[1]/ub1_dob_dmy","9","202"
"consented_grp[1]/ub5","6","211"
"consented_grp[1]/ub8b","3","217"
"consented_grp[1]/ub9","3","220"
"consented_grp[1]/br1","3","222"
"consented_grp[1]/ec1","5","226"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","7","231"
"consented_grp[1]/ec2_grp[1]/ec2_label","7","231"
"consented_grp[1]/ec2_grp[1]/ec2a","7","231"
"consented_grp[1]/ec2_grp[1]/ec2b","7","231"
"consented_grp[1]/ec2_grp[1]/ec2c","7","231"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","8","237"
"consented_grp[1]/ec3_grp[1]/ec3a","8","237"
"consented_grp[1]/ec3_grp[1]/ec3b","8","237"
"consented_grp[1]/ec5_grp[1]/ec5","17","246"
"consented_grp[1]/ec5_grp[1]/ec5_label","17","246"
"consented_grp[1]/ec5_grp[1]/ec5a","17","246"
"consented_grp[1]/ec5_grp[1]/ec5b","17","246"
"consented_grp[1]/ec5_grp[1]/ec5c","17","246"
"consented_grp[1]/ec5_grp[1]/ec5d","17","246"
"consented_grp[1]/ec5_grp[1]/ec5e","17","246"
"consented_grp[1]/ec5_grp[1]/ec5f","17","246"
"consented_grp[1]/ec6_grp[1]/ec6_note","7","263"
"consented_grp[1]/ec6_grp[1]/ec6","7","263"
"consented_grp[1]/ec7","3","270"
"consented_grp[1]/ec8","2","273"
"consented_grp[1]/ec9","3","275"
"consented_grp[1]/ec10","3","278"
"consented_grp[1]/ec11","2","281"
"consented_grp[1]/ec12","5","283"
"consented_grp[1]/ec13","2","287"
"consented_grp[1]/ec14","2","289"
"consented_grp[1]/ec15","3","291"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","25","295"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","25","295"
"consented_grp[1]/ucd2_grp[1]/ucd2a","25","295"
"consented_grp[1]/ucd2_grp[1]/ucb2b","25","295"
"consented_grp[1]/ucd2_grp[1]/ucb2c","25","295"
"consented_grp[1]/ucd2_grp[1]/ucb2d","25","295"
"consented_grp[1]/ucd2_grp[1]/ucb2e","25","295"
"consented_grp[1]/ucd2_grp[1]/ucb2f","25","295"
"consented_grp[1]/ucd2_grp[1]/ucb2g","25","295"
"consented_grp[1]/ucd2_grp[1]/ucb2h","25","295"
"consented_grp[1]/ucd2_grp[1]/ucb2i","25","295"
"consented_grp[1]/ucd2_grp[1]/ucb2j","25","295"
"consented_grp[1]/ucd3","4","320"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","6","324"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","6","324"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","6","324"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","6","324"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","6","324"
"consented_grp[1]/ucf_grp[1]/ucf5","2","330"
"consented_grp[1]/ucf_grp[1]/ucf7b","3","332"
"consented_grp[1]/ucf_grp[1]/ucf9b","2","335"
"consented_grp[1]/ucf_grp[1]/ucf13","2","337"
"consented_grp[1]/ucf_grp[1]/ucf14","2","338"
"consented_grp[1]/ucf_grp[1]/ucf15","2","340"
"consented_grp[1]/ucf_grp[1]/ucf16","1","342"
"consented_grp[1]/ucf_grp[1]/ucf17","2","343"
"consented_grp[1]/ucf_grp[1]/ucf18","2","345"
"consented_grp[1]/ucf_grp[1]/ucf19","4","346"
"consented_grp[1]/im2","3","350"
"consented_grp[1]/im5","2","354"
"consented_grp[1]/im6_note","19","356"
"consented_grp[1]/im6_rpt[1]/im6","2","375"
"consented_grp[1]/im6_rpt[1]/im6a","8","377"
"consented_grp[1]/im6_rpt[2]/im6","2","385"
"consented_grp[1]/im6_rpt[2]/im6a","9","387"
"consented_grp[1]/im6_rpt[3]/im6","2","396"
"consented_grp[1]/im6_rpt[3]/im6a","13","398"
"consented_grp[1]/im6_rpt[4]/im6","2","411"
"consented_grp[1]/im6_rpt[4]/im6a","23","413"
"consented_grp[1]/im6_rpt[5]/im6","5","427"
"consented_grp[1]/im6_rpt[5]/im6a","16","429"
"consented_grp[1]/im6_rpt[6]/im6","2","457"
"consented_grp[1]/im6_rpt[6]/im6a","8","459"
"consented_grp[1]/im6_rpt[7]/im6","2","468"
"consented_grp[1]/im6_rpt[7]/im6a","15","469"
"consented_grp[1]/im6_rpt[8]/im6","3","485"
"consented_grp[1]/im6_rpt[8]/im6a","20","488"
"consented_grp[1]/im6_rpt[9]/im6","2","507"
"consented_grp[1]/im6_rpt[9]/im6a","8","509"
"consented_grp[1]/im6_rpt[10]/im6","2","517"
"consented_grp[1]/im6_rpt[10]/im6a","12","519"
"consented_grp[1]/im6_rpt[11]/im6","2","530"
"consented_grp[1]/im6_rpt[11]/im6a","27","533"
"consented_grp[1]/im6_rpt[12]/im6","2","560"
"consented_grp[1]/im6_rpt[12]/im6a","8","562"
"consented_grp[1]/im6_rpt[13]/im6","5","571"
"consented_grp[1]/im6_rpt[13]/im6a","21","575"
"consented_grp[1]/im6_rpt[14]/im6","6","597"
