"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","12","10"
"comm_confirm_grp[1]/comm_details","5","22"
"comm_confirm_grp[1]/comm_confirm","5","22"
"u5_iden_grp[1]/u5_id","90","27"
"u5_iden_grp[1]/u5_fullname","90","27"
"u5_iden_grp[1]/u5_age","90","27"
"u5_iden_grp[1]/u5_ct_id","90","27"
"u5_iden_grp[1]/u5_ct_fullname","90","27"
"uf9","2","117"
"consent_grp[1]/consent","4","119"
"comments","8","121"
"consented_grp[1]/ub0","2","124"
"consented_grp[1]/ub1_age_sel","2","126"
"consented_grp[1]/ub1_dob_dmy","11","128"
"consented_grp[1]/ub5","2","138"
"consented_grp[1]/ub9","2","140"
"consented_grp[1]/br1","7","142"
"consented_grp[1]/br2","3","149"
"consented_grp[1]/br3","6","152"
"consented_grp[1]/ec1","7","158"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","13","165"
"consented_grp[1]/ec2_grp[1]/ec2_label","13","165"
"consented_grp[1]/ec2_grp[1]/ec2a","13","165"
"consented_grp[1]/ec2_grp[1]/ec2b","13","165"
"consented_grp[1]/ec2_grp[1]/ec2c","13","165"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","35","178"
"consented_grp[1]/ec3_grp[1]/ec3a","35","178"
"consented_grp[1]/ec3_grp[1]/ec3b","35","178"
"consented_grp[1]/ec7","3","213"
"consented_grp[1]/ec8","2","216"
"consented_grp[1]/ec9","2","217"
"consented_grp[1]/ec10","7","219"
"consented_grp[1]/ec11","5","220"
"consented_grp[1]/ec12","16","231"
"consented_grp[1]/ec13","5","247"
"consented_grp[1]/ec14","6","252"
"consented_grp[1]/ec15","13","258"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","125","271"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","125","271"
"consented_grp[1]/ucd2_grp[1]/ucd2a","125","271"
"consented_grp[1]/ucd2_grp[1]/ucb2b","125","271"
"consented_grp[1]/ucd2_grp[1]/ucb2c","125","271"
"consented_grp[1]/ucd2_grp[1]/ucb2d","125","271"
