"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","2"
"enum_id","38","4"
"enum_confirm_grp[1]/enum_details","2","39"
"enum_confirm_grp[1]/enum_confirm","2","39"
"community_id","12","40"
"comm_confirm_grp[1]/comm_details","7","53"
"comm_confirm_grp[1]/comm_confirm","7","53"
"hhid_grp[1]/hhid_instruction","62","56"
"hhid_grp[1]/hhid_struct_num","62","56"
"hhid_grp[1]/hhid_hh_num","62","56"
"hhid_confirm_grp[1]/hhid_details","29","117"
"hhid_confirm_grp[1]/hhid_confirm","29","117"
"consent_grp[1]/consent_instr","624","121"
"consent_grp[1]/consent","624","121"
"consented_grp[1]/hh_note","67","769"
"consented_grp[1]/hhm_cnt","91","835"
"consented_grp[1]/rooster_note","37","924"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","50","960"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","50","960"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","50","960"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","9","1009"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","4","1015"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","192","1018"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","35","1210"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","11","1244"
"consented_grp[1]/hhm_rpt[1]/ed4","7","1254"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","11","1260"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","11","1260"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","53","1268"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","53","1268"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","53","1268"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","16","1319"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","5","1334"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","42","1338"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","212","1375"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","8","1584"
"consented_grp[1]/hhm_rpt[2]/ed4","8","1591"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","11","1598"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","13","1608"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","4","1620"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","10","1622"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","23","1632"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","23","1632"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","203","1646"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","203","1646"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","203","1646"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","27","1844"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","20","1855"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","6","1861"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","27","1867"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","8","1894"
"consented_grp[1]/hhm_rpt[3]/ed4","17","1902"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","12","1919"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","16","1931"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","4","1947"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","4","1950"
"consented_grp[1]/hhm_rpt[3]/ed9","15","1955"
"consented_grp[1]/hhm_rpt[3]/ed15","13","1961"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","28","1982"
