"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","10","3"
"enum_confirm_grp[1]/enum_details","1","13"
"enum_confirm_grp[1]/enum_confirm","1","13"
"community_id","8","14"
"comm_confirm_grp[1]/comm_details","2","23"
"comm_confirm_grp[1]/comm_confirm","2","23"
"iw_iden_grp[1]/iw_id","139","24"
"iw_iden_grp[1]/iw_fullname","139","24"
"iw_iden_grp[1]/iw_age","139","24"
"wm8","7","117"
"wm9_grp[1]/wm9a","13","119"
"wm9_grp[1]/consent","13","119"
"consented_grp[1]/wb3_age_sel","11","177"
"consented_grp[1]/wb3_dob_dmy","349","179"
"consented_grp[1]/wb5","12","444"
"consented_grp[1]/wb5_grp[1]/wb6","5","454"
"consented_grp[1]/wb5_grp[1]/wb6a","6","456"
"consented_grp[1]/wb5_grp[1]/wb6b","3","459"
"consented_grp[1]/wb5_grp[1]/wb7","6","460"
"consented_grp[1]/wb5_grp[1]/wb9","8","464"
"consented_grp[1]/wb5_grp[1]/wb10","4","470"
"consented_grp[1]/wb5_grp[1]/wb10a","5","472"
"consented_grp[1]/wb5_grp[1]/wb10b","4","474"
"consented_grp[1]/wb5_grp[1]/wb11","10","476"
"consented_grp[1]/wb5_grp[1]/wb12a","6","479"
"consented_grp[1]/wb5_grp[1]/wb12","4","486"
"consented_grp[1]/wb5_grp[1]/wb12b","3","490"
"consented_grp[1]/wb15","11","492"
"consented_grp[1]/wb18","5","499"
"consented_grp[1]/mt1","10","502"
"consented_grp[1]/mt2","4","509"
"consented_grp[1]/mt3","5","511"
"consented_grp[1]/mt4","8","515"
"consented_grp[1]/mt9","6","521"
"consented_grp[1]/mt11","5","526"
"consented_grp[1]/mt12","16","528"
"consented_grp[1]/cm1","6","542"
"consented_grp[1]/cm2","4","546"
"consented_grp[1]/cm2_grp[1]/cm3","12","548"
"consented_grp[1]/cm2_grp[1]/cm4","12","548"
"consented_grp[1]/cm5","5","558"
"consented_grp[1]/cm8","5","560"
"consented_grp[1]/cm12","4","562"
"consented_grp[1]/bh0","3","564"
"consented_grp[1]/bh_rpt[1]/bh1","16","566"
"consented_grp[1]/bh_rpt[1]/bh2","4","576"
"consented_grp[1]/bh_rpt[1]/bh3","5","578"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","5","581"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","31","583"
"consented_grp[1]/bh_rpt[1]/bh5","5","612"
"consented_grp[1]/bh_rpt[1]/bh6","8","615"
"consented_grp[1]/bh_rpt[1]/bh7","5","620"
"consented_grp[1]/bh_rpt[1]/bh8","17","623"
"consented_grp[1]/bh_rpt[1]/bh10","45","629"
"consented_grp[1]/db2","11","671"
"consented_grp[1]/db4_a","6","680"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","58","683"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","6","740"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","23","742"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","23","742"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","11","749"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","7","768"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","7","768"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","7","768"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","7","768"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","7","768"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","8","773"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","3","777"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","4","778"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","8","781"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","4","784"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","4","787"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","11","788"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","4","797"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","4","799"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","40","802"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","4","840"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","19","843"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","9","853"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","4","865"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","179","868"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","6","1045"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","13","1048"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","13","1048"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","6","1054"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","4","1058"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","17","1060"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","17","1060"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","10","1072"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","4","1081"
