"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","9","2"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","6","13"
"comm_confirm_grp[1]/comm_details","1","19"
"comm_confirm_grp[1]/comm_confirm","1","19"
"u5_iden_grp[1]/u5_id","116","20"
"u5_iden_grp[1]/u5_fullname","116","20"
"u5_iden_grp[1]/u5_age","116","20"
"u5_iden_grp[1]/u5_ct_id","116","20"
"u5_iden_grp[1]/u5_ct_fullname","116","20"
"gm1_a","7","136"
"gmobs1","3","141"
"gmobs2","1","146"
"an8","7","147"
"an9","2","154"
"an11_grp[1]/an11_a","6","156"
"an11_grp[1]/an11","6","156"
"an12","2","162"
"an13","3","164"
"an15","-5519","166"
