"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","4","7"
"comm_confirm_grp[1]/comm_details","1","11"
"comm_confirm_grp[1]/comm_confirm","1","11"
"u5_iden_grp[1]/u5_id","71","12"
"u5_iden_grp[1]/u5_fullname","71","12"
"u5_iden_grp[1]/u5_age","71","12"
"u5_iden_grp[1]/u5_ct_id","71","12"
"u5_iden_grp[1]/u5_ct_fullname","71","12"
"gm1_a","60","83"
"gm1_b","8","143"
"gm2_rpt[1]/gm2_grp[1]/gm3","7","151"
"gm2_rpt[1]/gm2_grp[1]/gm4","1","159"
"gm2_rpt[1]/gm2_grp[1]/gm5","1","160"
"gm2_rpt[1]/gm2_grp[1]/gm6","2","161"
"gm2_rpt[1]/gm2_grp[1]/gm7","1","163"
"gmobs1","4","164"
"gmobs2","3","167"
"an8","45","168"
"an9","12","169"
"an11_grp[1]/an11_a","64","170"
"an11_grp[1]/an11","64","170"
"an12","8","173"
"an13","114","174"
"an15","26","178"
