"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","11","11"
"comm_confirm_grp[1]/comm_details","1","21"
"comm_confirm_grp[1]/comm_confirm","1","21"
"u5_iden_grp[1]/u5_id","74","23"
"u5_iden_grp[1]/u5_fullname","74","23"
"u5_iden_grp[1]/u5_age","74","23"
"u5_iden_grp[1]/u5_ct_id","74","23"
"u5_iden_grp[1]/u5_ct_fullname","74","23"
"uf9","2","96"
"consent_grp[1]/consent","2","98"
"consented_grp[1]/ub0","9","101"
"consented_grp[1]/ub1_age_sel","2","110"
"consented_grp[1]/ub1_dob_dmy","133","112"
"consented_grp[1]/ub5","19","245"
"consented_grp[1]/ub8b","26","252"
"consented_grp[1]/ub6","11","284"
"consented_grp[1]/ub9","3","302"
"consented_grp[1]/br1","41","305"
"consented_grp[1]/ec1","10","346"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","26","356"
"consented_grp[1]/ec2_grp[1]/ec2_label","26","356"
"consented_grp[1]/ec2_grp[1]/ec2a","26","356"
"consented_grp[1]/ec2_grp[1]/ec2b","26","356"
"consented_grp[1]/ec2_grp[1]/ec2c","26","356"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","77","373"
"consented_grp[1]/ec3_grp[1]/ec3a","77","373"
"consented_grp[1]/ec3_grp[1]/ec3b","77","373"
"consented_grp[1]/ec5_grp[1]/ec5","92","459"
"consented_grp[1]/ec5_grp[1]/ec5_label","92","459"
"consented_grp[1]/ec5_grp[1]/ec5a","92","459"
"consented_grp[1]/ec5_grp[1]/ec5b","92","459"
"consented_grp[1]/ec5_grp[1]/ec5c","92","459"
"consented_grp[1]/ec5_grp[1]/ec5d","92","459"
"consented_grp[1]/ec5_grp[1]/ec5e","92","459"
"consented_grp[1]/ec5_grp[1]/ec5f","92","459"
"consented_grp[1]/ec6_grp[1]/ec6_note","17","551"
"consented_grp[1]/ec6_grp[1]/ec6","17","551"
"consented_grp[1]/ec7","18","568"
"consented_grp[1]/ec8","10","587"
"consented_grp[1]/ec9","18","597"
"consented_grp[1]/ec10","5","615"
