"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","9","6"
"enum_confirm_grp[1]/enum_details","2","14"
"enum_confirm_grp[1]/enum_confirm","2","14"
"community_id","79","17"
"comm_confirm_grp[1]/comm_details","5","95"
"comm_confirm_grp[1]/comm_confirm","5","95"
"iw_iden_grp[1]/iw_id","54","100"
"iw_iden_grp[1]/iw_fullname","54","100"
"iw_iden_grp[1]/iw_age","54","100"
"wm8","2","154"
"wm9_grp[1]/wm9b","3","156"
"wm9_grp[1]/consent","3","156"
"consented_grp[1]/wb3_age_sel","4","159"
"consented_grp[1]/wb3_dob_dmy","46","163"
"consented_grp[1]/wb5","8","209"
"consented_grp[1]/wb14_grp[1]/wb14_note","7","217"
"consented_grp[1]/wb14_grp[1]/wb14","7","217"
"consented_grp[1]/wb15","56","224"
"consented_grp[1]/wb16_grp[1]/wb16a","102","280"
"consented_grp[1]/wb16_grp[1]/wb16_note","102","280"
"consented_grp[1]/wb16_grp[1]/wb16b","102","280"
"consented_grp[1]/wb17a","14","369"
"consented_grp[1]/wb17b","12","378"
"consented_grp[1]/wb17c","66","384"
"consented_grp[1]/wb18","6","474"
"consented_grp[1]/mt1","8","480"
"consented_grp[1]/mt2","22","488"
"consented_grp[1]/mt3","6","510"
"consented_grp[1]/mt4","5","516"
"consented_grp[1]/mt9","3","521"
"consented_grp[1]/mt11","4","525"
"consented_grp[1]/mt12","34","529"
"consented_grp[1]/cm1","90","558"
"consented_grp[1]/cm2","581","653"
"consented_grp[1]/cm2_grp[1]/cm3","12","1234"
"consented_grp[1]/cm2_grp[1]/cm4","12","1234"
"consented_grp[1]/cm5","5","1246"
"consented_grp[1]/cm5_grp[1]/cm6","19","1251"
"consented_grp[1]/cm5_grp[1]/cm7","19","1251"
"consented_grp[1]/cm8","14","1269"
"consented_grp[1]/cm8_grp[1]/cm9","10","1284"
"consented_grp[1]/cm8_grp[1]/cm10","10","1284"
"consented_grp[1]/cm12","19","1294"
"consented_grp[1]/bh0","1","1313"
"consented_grp[1]/bh_rpt[1]/bh1","11","1314"
"consented_grp[1]/bh_rpt[1]/bh2","5","1325"
"consented_grp[1]/bh_rpt[1]/bh3","4","1330"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","5","1334"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","38","1339"
"consented_grp[1]/bh_rpt[1]/bh5","4","1377"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","31","1381"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","31","1381"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_b","31","1381"
"consented_grp[1]/bh_rpt[1]/bh10","12","1413"
"consented_grp[1]/bh_rpt[2]/bh1","13","1425"
"consented_grp[1]/bh_rpt[2]/bh2","4","1438"
"consented_grp[1]/bh_rpt[2]/bh3","5","1441"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","7","1446"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","32","1453"
"consented_grp[1]/bh_rpt[2]/bh5","5","1485"
"consented_grp[1]/bh_rpt[2]/bh6","19","1489"
"consented_grp[1]/bh_rpt[2]/bh7","5","1509"
"consented_grp[1]/bh_rpt[2]/bh10","11","1514"
"consented_grp[1]/bh_rpt[3]/bh1","14","1524"
"consented_grp[1]/bh_rpt[3]/bh2","3","1539"
"consented_grp[1]/bh_rpt[3]/bh3","4","1541"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","7","1544"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","44","1552"
"consented_grp[1]/bh_rpt[3]/bh5","3","1595"
"consented_grp[1]/bh_rpt[3]/bh6","13","1599"
"consented_grp[1]/bh_rpt[3]/bh7","6","1612"
"consented_grp[1]/bh_rpt[3]/bh10","9","1617"
"consented_grp[1]/bh_rpt[4]/bh1","12","1626"
"consented_grp[1]/bh_rpt[4]/bh2","3","1639"
"consented_grp[1]/bh_rpt[4]/bh3","3","1641"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","3","1644"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","31","1648"
"consented_grp[1]/bh_rpt[4]/bh5","3","1679"
"consented_grp[1]/bh_rpt[4]/bh6","10","1682"
"consented_grp[1]/bh_rpt[4]/bh7","5","1692"
"consented_grp[1]/bh_rpt[4]/bh8","23","1697"
"consented_grp[1]/bh_rpt[4]/bh10","11","1721"
"consented_grp[1]/db2","411","1728"
"consented_grp[1]/db4_b","24","2143"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","6","2167"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","11","2172"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","10","2183"
