"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","12"
"enum_id","22","14"
"enum_confirm_grp[1]/enum_details","3","24"
"enum_confirm_grp[1]/enum_confirm","3","24"
"community_id","300","25"
"comm_confirm_grp[1]/comm_details","3","315"
"comm_confirm_grp[1]/comm_confirm","3","315"
"hhid_grp[1]/hhid_instruction","16","317"
"hhid_grp[1]/hhid_struct_num","16","317"
"hhid_grp[1]/hhid_hh_num","16","317"
"hhid_confirm_grp[1]/hhid_details","9","325"
"hhid_confirm_grp[1]/hhid_confirm","9","325"
"consent_grp[1]/consent_instr","10","331"
"consent_grp[1]/consent","10","331"
"consented_grp[1]/hh_note","5","337"
"consented_grp[1]/hhm_cnt","12","339"
"consented_grp[1]/rooster_note","29","344"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","61","364"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","61","364"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","61","364"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","11","402"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","9","425"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","6","427"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","22","430"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","17","445"
"consented_grp[1]/hhm_rpt[1]/ed4","23","456"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","31","476"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","10","500"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","10","500"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","23","504"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","23","504"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","23","504"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","8","523"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","4","528"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","7","530"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","23","533"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","11","554"
"consented_grp[1]/hhm_rpt[2]/ed4","8","562"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","7","569"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","5","574"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","5","577"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","16","579"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","6","588"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","6","588"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","24","592"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","24","592"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","24","592"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","18","607"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","6","616"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","8","618"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","41","621"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","19","647"
"consented_grp[1]/hhm_rpt[3]/ed4","26","653"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","17","660"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","16","665"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","16","667"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","15","670"
"consented_grp[1]/hhm_rpt[3]/ed9","19","672"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","4","678"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","16","680"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","45","690"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","22","721"
"consented_grp[1]/hhm_rpt[3]/ed15","56","730"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","8","738"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","3","741"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","10","743"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","10","743"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","29","750"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","29","750"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","29","750"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","23","762"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","3","797"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","4","799"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","23","801"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","10","819"
"consented_grp[1]/hhm_rpt[4]/ed4","57","825"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","62","831"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","5","890"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","3","893"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","4","895"
"consented_grp[1]/hhm_rpt[4]/ed9","9","898"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","4","904"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","7","907"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","12","912"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","10","923"
"consented_grp[1]/hhm_rpt[4]/ed15","16","932"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16a","4","947"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16b","3","949"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","45","951"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","45","951"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","54","995"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","54","995"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","54","995"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","8","1045"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","4","1052"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","166","1054"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl6_age_est","4","1215"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","31","1218"
"consented_grp[1]/hhm_rpt[5]/ed4","28","1247"
"consented_grp[1]/hhm_rpt[5]/ed9","15","1265"
"consented_grp[1]/hhm_rpt[5]/ed15","25","1278"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","10","1281"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","10","1281"
"consented_grp[1]/hhm_corr","6","1288"
"consented_grp[1]/hhm_ch_intro","6","1362"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","10","1367"
