"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","8"
"enum_id","4","9"
"enum_confirm_grp[1]/enum_details","2","11"
"enum_confirm_grp[1]/enum_confirm","2","11"
"community_id","11","12"
"comm_confirm_grp[1]/comm_details","2","21"
"comm_confirm_grp[1]/comm_confirm","2","21"
"u5_iden_grp[1]/u5_id","40","23"
"u5_iden_grp[1]/u5_fullname","40","23"
"u5_iden_grp[1]/u5_age","40","23"
"u5_iden_grp[1]/u5_ct_id","40","23"
"u5_iden_grp[1]/u5_ct_fullname","40","23"
"uf9","3","60"
"consent_grp[1]/consent","2","61"
"consented_grp[1]/ub0","8","62"
"consented_grp[1]/ub1_age_sel","4","69"
"consented_grp[1]/ub1_dob_dmy","8","72"
"consented_grp[1]/ub5","4","79"
"consented_grp[1]/ub8b","3","82"
"consented_grp[1]/ub9","2","84"
"consented_grp[1]/br1","3","85"
"consented_grp[1]/ec1","18","87"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","31","102"
"consented_grp[1]/ec2_grp[1]/ec2_label","31","102"
"consented_grp[1]/ec2_grp[1]/ec2a","31","102"
"consented_grp[1]/ec2_grp[1]/ec2b","31","102"
"consented_grp[1]/ec2_grp[1]/ec2c","31","102"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","54","131"
"consented_grp[1]/ec3_grp[1]/ec3a","54","131"
"consented_grp[1]/ec3_grp[1]/ec3b","54","131"
"consented_grp[1]/ec5_grp[1]/ec5","78","185"
"consented_grp[1]/ec5_grp[1]/ec5_label","78","185"
"consented_grp[1]/ec5_grp[1]/ec5a","78","185"
"consented_grp[1]/ec5_grp[1]/ec5b","78","185"
"consented_grp[1]/ec5_grp[1]/ec5c","78","185"
"consented_grp[1]/ec5_grp[1]/ec5d","78","185"
"consented_grp[1]/ec5_grp[1]/ec5e","78","185"
"consented_grp[1]/ec5_grp[1]/ec5f","78","185"
"consented_grp[1]/ec6_grp[1]/ec6_note","14","264"
"consented_grp[1]/ec6_grp[1]/ec6","14","264"
"consented_grp[1]/ec7","5","278"
"consented_grp[1]/ec8","19","280"
"consented_grp[1]/ec9","2","298"
"consented_grp[1]/ec10","7","300"
"consented_grp[1]/ec11","9","308"
"consented_grp[1]/ec12","18","317"
"consented_grp[1]/ec13","3","334"
"consented_grp[1]/ec14","10","338"
"consented_grp[1]/ec15","6","348"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","107","355"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","107","355"
"consented_grp[1]/ucd2_grp[1]/ucd2a","107","355"
"consented_grp[1]/ucd2_grp[1]/ucb2b","107","355"
"consented_grp[1]/ucd2_grp[1]/ucb2c","107","355"
"consented_grp[1]/ucd2_grp[1]/ucb2d","107","355"
"consented_grp[1]/ucd2_grp[1]/ucb2e","107","355"
"consented_grp[1]/ucd2_grp[1]/ucb2f","107","355"
"consented_grp[1]/ucd2_grp[1]/ucb2g","107","355"
"consented_grp[1]/ucd2_grp[1]/ucb2h","107","355"
"consented_grp[1]/ucd2_grp[1]/ucb2i","107","355"
"consented_grp[1]/ucd2_grp[1]/ucb2j","107","355"
"consented_grp[1]/ucd3","12","462"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","7","474"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","7","474"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","7","474"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","7","474"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","7","474"
"consented_grp[1]/ucf_grp[1]/ucf5","3","481"
"consented_grp[1]/ucf_grp[1]/ucf7b","3","483"
"consented_grp[1]/ucf_grp[1]/ucf9b","3","486"
"consented_grp[1]/ucf_grp[1]/ucf13","2","487"
"consented_grp[1]/ucf_grp[1]/ucf14","2","489"
"consented_grp[1]/ucf_grp[1]/ucf15","11","491"
"consented_grp[1]/ucf_grp[1]/ucf16","7","502"
"consented_grp[1]/ucf_grp[1]/ucf17","3","509"
"consented_grp[1]/ucf_grp[1]/ucf18","1","511"
"consented_grp[1]/ucf_grp[1]/ucf19","21","512"
"consented_grp[1]/im2","12","533"
"consented_grp[1]/im3","6","545"
"consented_grp[1]/ca1","9","549"
"consented_grp[1]/ca14","7","557"
"consented_grp[1]/ca16","6","561"
"consented_grp[1]/ca17","15","562"
"consented_grp[1]/gps_backup","28","576"
"comments","560","603"
