"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","6","9"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"hhid_grp[1]/hhid_instruction","10","16"
"hhid_grp[1]/hhid_struct_num","10","16"
"hhid_grp[1]/hhid_hh_num","10","16"
"hhid_confirm_grp[1]/hhid_details","1","26"
"hhid_confirm_grp[1]/hhid_confirm","1","26"
"consent_grp[1]/consent_instr","193","27"
"consent_grp[1]/consent","193","27"
"consented_grp[1]/hh_note","1","220"
"consented_grp[1]/hhm_cnt","160","221"
"consented_grp[1]/rooster_note","1","381"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","140","382"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","140","382"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","140","382"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","522"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","524"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","1","526"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","2","527"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","5","529"
"consented_grp[1]/hhm_rpt[1]/ed4","22","534"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","556"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","556"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","27","558"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","27","558"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","27","558"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","585"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","587"
