"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","6","8"
"enum_id","5","14"
"enum_confirm_grp[1]/enum_details","1","19"
"enum_confirm_grp[1]/enum_confirm","1","19"
"community_id","7","20"
"comm_confirm_grp[1]/comm_details","1","27"
"comm_confirm_grp[1]/comm_confirm","1","27"
"u5_iden_grp[1]/u5_id","64","29"
"u5_iden_grp[1]/u5_fullname","64","29"
"u5_iden_grp[1]/u5_age","64","29"
"u5_iden_grp[1]/u5_ct_id","64","29"
"u5_iden_grp[1]/u5_ct_fullname","64","29"
"uf9","1","93"
"consent_grp[1]/consent","2","94"
"consented_grp[1]/ub0","1","96"
"consented_grp[1]/ub1_age_sel","32","97"
"consented_grp[1]/ub1_dob_dmy","12","130"
"consented_grp[1]/ub5","13","142"
"consented_grp[1]/ub9","3","156"
"consented_grp[1]/br1","2","159"
"consented_grp[1]/br2","21","161"
"consented_grp[1]/br3","12","182"
"consented_grp[1]/ec1","3","194"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","11","196"
"consented_grp[1]/ec2_grp[1]/ec2_label","11","196"
"consented_grp[1]/ec2_grp[1]/ec2a","11","196"
"consented_grp[1]/ec2_grp[1]/ec2b","11","196"
"consented_grp[1]/ec2_grp[1]/ec2c","11","196"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","6","207"
"consented_grp[1]/ec3_grp[1]/ec3a","6","207"
"consented_grp[1]/ec3_grp[1]/ec3b","6","207"
"consented_grp[1]/ec7","5","213"
"consented_grp[1]/ec8","1","218"
"consented_grp[1]/ec9","1","220"
"consented_grp[1]/ec10","4","221"
"consented_grp[1]/ec11","7","225"
"consented_grp[1]/ec12","1","231"
"consented_grp[1]/ec13","3","233"
"consented_grp[1]/ec14","3","235"
"consented_grp[1]/ec15","2","238"
"consented_grp[1]/bd_grp[1]/bd2","4","240"
"consented_grp[1]/bd_grp[1]/bd3","2","245"
"consented_grp[1]/bd_grp[1]/bd4","7","247"
"consented_grp[1]/bd_grp[1]/bd5","3","252"
"consented_grp[1]/bd_grp[1]/bd6","3","257"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","6","259"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","6","259"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","6","259"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","6","259"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","6","259"
