"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","8","2"
"enum_confirm_grp[1]/enum_details","9","10"
"enum_confirm_grp[1]/enum_confirm","9","10"
"community_id","8","19"
"comm_confirm_grp[1]/comm_details","1","27"
"comm_confirm_grp[1]/comm_confirm","1","27"
"hhid_grp[1]/hhid_instruction","30","28"
"hhid_grp[1]/hhid_struct_num","30","28"
"hhid_grp[1]/hhid_hh_num","30","28"
"hhid_confirm_grp[1]/hhid_details","45","58"
"hhid_confirm_grp[1]/hhid_confirm","45","58"
"consent_grp[1]/consent_instr","304","103"
"consent_grp[1]/consent","304","103"
"consented_grp[1]/hh_note","53","408"
"consented_grp[1]/hhm_cnt","2","461"
"consented_grp[1]/rooster_note","165","463"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","32","628"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","32","628"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","32","628"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","660"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","662"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","4","665"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_y","19","668"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","8","682"
"consented_grp[1]/hhm_rpt[1]/ed4","7","691"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","5","697"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","8","700"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","7","702"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","16","704"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","21","733"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","21","733"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","16","760"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","16","760"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","16","760"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","8","776"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","784"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","4","785"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_y","30","789"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","12","819"
"consented_grp[1]/hhm_rpt[2]/ed4","2","831"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","7","832"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","1","839"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","2","841"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","23","842"
"consented_grp[1]/hhm_rpt[2]/ed9","10","865"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed10","4","875"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed11a","6","879"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed12","3","885"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed13","3","888"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed14","7","890"
"consented_grp[1]/hhm_rpt[2]/ed15","3","897"
"consented_grp[1]/hhm_rpt[2]/ed16_grp[1]/ed16a","34","900"
"consented_grp[1]/hhm_rpt[2]/ed16_grp[1]/ed16b","2","934"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","2","935"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","2","935"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","19","938"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","19","938"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","19","938"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","15","957"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","3","971"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","7","975"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","16","982"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","7","998"
"consented_grp[1]/hhm_rpt[3]/ed4","6","1004"
"consented_grp[1]/hhm_rpt[3]/ed9","1","1011"
"consented_grp[1]/hhm_rpt[3]/ed15","1","1012"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","9","1013"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","9","1013"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","20","1022"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","20","1022"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","20","1022"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","8","1042"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","1","1050"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","3","1051"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","14","1054"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","7","1068"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","4","1075"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","4","1075"
"consented_grp[1]/hhm_ch_intro","52","1078"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","11","1130"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","2","1141"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","4","1143"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","5","1147"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","6","1152"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl19","12","1158"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","5","1170"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","4","1175"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","4","1179"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","3","1183"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","4","1186"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17b","3","1190"
"consented_grp[1]/u5_rpt[1]/u5_note","84","1193"
"consented_grp[1]/u5_rpt[2]/u5_note","31","1277"
"consented_grp[1]/hc_grp[1]/hc1a","8","1308"
"consented_grp[1]/hc_grp[1]/hc1b","7","1316"
"consented_grp[1]/hc_grp[1]/hc2","2","1322"
"consented_grp[1]/hc_grp[1]/hc3","28","1324"
"consented_grp[1]/hc_grp[1]/hc4","46","1351"
"consented_grp[1]/hc_grp[1]/hc5","3","1397"
"consented_grp[1]/hc_grp[1]/hc6","5","1400"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","63","1405"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","63","1405"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","63","1405"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","63","1405"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","63","1405"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","63","1405"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","63","1405"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","63","1405"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","63","1405"
"consented_grp[1]/hc_grp[1]/hc8","11","1461"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","42","1479"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","42","1479"
