"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","9","2"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","11","12"
"comm_confirm_grp[1]/comm_details","1","23"
"comm_confirm_grp[1]/comm_confirm","1","23"
"u5_iden_grp[1]/u5_id","56","24"
"u5_iden_grp[1]/u5_fullname","56","24"
"u5_iden_grp[1]/u5_age","56","24"
"u5_iden_grp[1]/u5_ct_id","56","24"
"u5_iden_grp[1]/u5_ct_fullname","56","24"
"uf9","2","80"
"consent_grp[1]/consent","2","82"
"consented_grp[1]/ub0","5","84"
"consented_grp[1]/ub1_age_sel","7","89"
"consented_grp[1]/ub1_dob_dmy","21","95"
"consented_grp[1]/ub5","2","117"
"consented_grp[1]/ub6","2","119"
"consented_grp[1]/ub9","4","121"
"consented_grp[1]/br1","4","124"
"consented_grp[1]/br2","11","128"
"consented_grp[1]/br3","9","139"
"consented_grp[1]/ec1","3","148"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","18","151"
"consented_grp[1]/ec2_grp[1]/ec2_label","18","151"
"consented_grp[1]/ec2_grp[1]/ec2a","18","151"
"consented_grp[1]/ec2_grp[1]/ec2b","18","151"
"consented_grp[1]/ec2_grp[1]/ec2c","18","151"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","19","169"
"consented_grp[1]/ec3_grp[1]/ec3a","19","169"
"consented_grp[1]/ec3_grp[1]/ec3b","19","169"
"consented_grp[1]/ec5_grp[1]/ec5","61","188"
"consented_grp[1]/ec5_grp[1]/ec5_label","61","188"
"consented_grp[1]/ec5_grp[1]/ec5a","61","188"
"consented_grp[1]/ec5_grp[1]/ec5b","61","188"
"consented_grp[1]/ec5_grp[1]/ec5c","61","188"
"consented_grp[1]/ec5_grp[1]/ec5d","61","188"
"consented_grp[1]/ec5_grp[1]/ec5e","61","188"
"consented_grp[1]/ec5_grp[1]/ec5f","61","188"
"consented_grp[1]/ec6_grp[1]/ec6_note","26","249"
"consented_grp[1]/ec6_grp[1]/ec6","26","249"
"consented_grp[1]/ec7","2","274"
"consented_grp[1]/ec8","2","277"
"consented_grp[1]/ec9","4","278"
"consented_grp[1]/ec10","4","282"
"consented_grp[1]/ec11","7","286"
"consented_grp[1]/ec12","8","293"
"consented_grp[1]/ec13","4","302"
"consented_grp[1]/ec14","3","305"
"consented_grp[1]/ec15","12","308"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","90","320"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","90","320"
"consented_grp[1]/ucd2_grp[1]/ucd2a","90","320"
"consented_grp[1]/ucd2_grp[1]/ucb2b","90","320"
"consented_grp[1]/ucd2_grp[1]/ucb2c","90","320"
"consented_grp[1]/ucd2_grp[1]/ucb2d","90","320"
