"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","31","2"
"enum_confirm_grp[1]/enum_details","1","34"
"enum_confirm_grp[1]/enum_confirm","1","34"
"community_id","5","35"
"comm_confirm_grp[1]/comm_details","1","40"
"comm_confirm_grp[1]/comm_confirm","1","40"
"iw_iden_grp[1]/iw_id","68","41"
"iw_iden_grp[1]/iw_fullname","68","41"
"iw_iden_grp[1]/iw_age","68","41"
"wm8","5","104"
"wm9_grp[1]/wm9b","23","106"
"wm9_grp[1]/consent","23","106"
"consented_grp[1]/wb3_age_sel","16","122"
"consented_grp[1]/wb3_dob_dmy","24","134"
"consented_grp[1]/age_correct_info","6","154"
"consented_grp[1]/wb5","77","172"
"consented_grp[1]/wb14_grp[1]/wb14_note","336","246"
"consented_grp[1]/wb14_grp[1]/wb14","336","246"
"consented_grp[1]/wb15","96","573"
"consented_grp[1]/wb16_grp[1]/wb16a","92","674"
"consented_grp[1]/wb16_grp[1]/wb16_note","92","674"
"consented_grp[1]/wb16_grp[1]/wb16b","92","674"
"consented_grp[1]/wb17a","133","708"
"consented_grp[1]/wb17b","10","888"
"consented_grp[1]/wb17c","22","894"
"consented_grp[1]/wb18","81","904"
"consented_grp[1]/wb19","18","989"
"consented_grp[1]/mt1","23","1008"
"consented_grp[1]/mt2","16","1020"
"consented_grp[1]/mt3","9","1035"
"consented_grp[1]/mt4","8","1044"
"consented_grp[1]/mt9","9","1051"
"consented_grp[1]/mt11","88","1058"
"consented_grp[1]/mt12","16","1145"
"consented_grp[1]/cm1","41","1158"
"consented_grp[1]/cm2","13","1195"
"consented_grp[1]/cm2_grp[1]/cm3","151","1204"
"consented_grp[1]/cm2_grp[1]/cm4","151","1204"
"consented_grp[1]/cm5","24","1341"
"consented_grp[1]/cm5_grp[1]/cm6","269","1362"
"consented_grp[1]/cm5_grp[1]/cm7","269","1362"
"consented_grp[1]/cm8","66","1621"
"consented_grp[1]/cm8_grp[1]/cm9","29","1672"
"consented_grp[1]/cm8_grp[1]/cm10","29","1672"
"consented_grp[1]/cm12","38","1685"
"consented_grp[1]/bh0","1024","1798"
"consented_grp[1]/bh_rpt[1]/bh1","1065","1884"
"consented_grp[1]/bh_rpt[1]/bh2","11","3908"
"consented_grp[1]/bh_rpt[1]/bh3","4","3918"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","8","3922"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","23","3927"
"consented_grp[1]/bh_rpt[1]/bh5","2","3951"
"consented_grp[1]/bh_rpt[1]/bh6","41","3953"
"consented_grp[1]/bh_rpt[1]/bh7","13","3994"
"consented_grp[1]/bh_rpt[1]/bh10","42","4007"
"consented_grp[1]/bh_rpt[2]/bh1","15","4050"
"consented_grp[1]/bh_rpt[2]/bh2","9","4065"
"consented_grp[1]/bh_rpt[2]/bh3","4","4074"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","23","4078"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","20","4081"
"consented_grp[1]/bh_rpt[2]/bh5","4","4100"
"consented_grp[1]/bh_rpt[2]/bh6","13","4104"
"consented_grp[1]/bh_rpt[2]/bh7","13","4117"
"consented_grp[1]/bh_rpt[2]/bh8","28","4130"
"consented_grp[1]/bh_rpt[2]/bh10","25","4157"
"consented_grp[1]/bh_rpt[3]/bh1","15","4174"
"consented_grp[1]/bh_rpt[3]/bh2","8","4183"
"consented_grp[1]/bh_rpt[3]/bh3","5","4186"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","9","4189"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","4","4193"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","16","4224"
"consented_grp[1]/bh_rpt[3]/bh5","8","4240"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_note","16","4248"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_a","16","4248"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_b","16","4248"
"consented_grp[1]/bh_rpt[3]/bh10","5","4264"
"consented_grp[1]/bh_rpt[4]/bh1","12","4268"
"consented_grp[1]/bh_rpt[4]/bh2","6","4280"
"consented_grp[1]/bh_rpt[4]/bh3","4","4286"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","9","4291"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","20","4300"
"consented_grp[1]/bh_rpt[4]/bh5","5","4320"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_note","30","4325"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_a","30","4325"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_b","30","4325"
"consented_grp[1]/bh_rpt[4]/bh10","9","4338"
"consented_grp[1]/bh_rpt[5]/bh1","9","4348"
"consented_grp[1]/bh_rpt[5]/bh2","2","4356"
"consented_grp[1]/bh_rpt[5]/bh3","4","4358"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","9","4362"
"consented_grp[1]/bh_rpt[5]/bh4_dob_dmy","28","4371"
"consented_grp[1]/bh_rpt[5]/bh5","4","4399"
"consented_grp[1]/bh_rpt[5]/bh6","25","4403"
"consented_grp[1]/bh_rpt[5]/bh7","13","4428"
"consented_grp[1]/bh_rpt[5]/bh10","332","4441"
"consented_grp[1]/bh_rpt[6]/bh1","48","4771"
"consented_grp[1]/bh_rpt[6]/bh2","4","4821"
"consented_grp[1]/bh_rpt[6]/bh3","66","4825"
"consented_grp[1]/bh_rpt[6]/bh4_age_sel","4","4891"
"consented_grp[1]/bh_rpt[6]/bh4_dob_my","12","4896"
"consented_grp[1]/bh_rpt[6]/bh5","15","4908"
"consented_grp[1]/bh_rpt[6]/bh6","20","4923"
"consented_grp[1]/bh_rpt[6]/bh7","7","4943"
"consented_grp[1]/bh_rpt[6]/bh10","7","4950"
"consented_grp[1]/bh_rpt[7]/bh1","11","4957"
"consented_grp[1]/bh_rpt[7]/bh2","2","4968"
"consented_grp[1]/bh_rpt[7]/bh3","2","4970"
"consented_grp[1]/bh_rpt[7]/bh4_age_sel","7","4972"
"consented_grp[1]/bh_rpt[7]/bh4_dob_dmy","16","4979"
"consented_grp[1]/bh_rpt[7]/bh5","4","4995"
"consented_grp[1]/bh_rpt[7]/bh9_grp[1]/bh9_note","14","4999"
"consented_grp[1]/bh_rpt[7]/bh9_grp[1]/bh9_a","14","4999"
"consented_grp[1]/bh_rpt[7]/bh9_grp[1]/bh9_b","14","4999"
"consented_grp[1]/bh_rpt[7]/bh10","11","5013"
"consented_grp[1]/bh_rpt[8]/bh1","15","5024"
"consented_grp[1]/bh_rpt[8]/bh2","3","5038"
"consented_grp[1]/bh_rpt[8]/bh3","4","5042"
"consented_grp[1]/bh_rpt[8]/bh4_age_sel","3","5045"
"consented_grp[1]/bh_rpt[8]/bh4_dob_dmy","21","5048"
"consented_grp[1]/bh_rpt[8]/bh5","6","5070"
"consented_grp[1]/bh_rpt[8]/bh6","6","5076"
"consented_grp[1]/bh_rpt[8]/bh7","18","5082"
"consented_grp[1]/bh_rpt[8]/bh8","21","5100"
"consented_grp[1]/bh_rpt[8]/bh10","11","5121"
"consented_grp[1]/bh_rpt[9]/bh1","8","5132"
"consented_grp[1]/bh_rpt[9]/bh2","3","5140"
"consented_grp[1]/bh_rpt[9]/bh3","2","5143"
"consented_grp[1]/bh_rpt[9]/bh4_age_sel","2","5145"
"consented_grp[1]/bh_rpt[9]/bh4_dob_dmy","10","5147"
"consented_grp[1]/bh_rpt[9]/bh5","7","5157"
