"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","15","2"
"enum_id","10","17"
"enum_confirm_grp[1]/enum_details","1","27"
"enum_confirm_grp[1]/enum_confirm","1","27"
"community_id","6","28"
"comm_confirm_grp[1]/comm_details","2","34"
"comm_confirm_grp[1]/comm_confirm","2","34"
"u5_iden_grp[1]/u5_id","114","37"
"u5_iden_grp[1]/u5_fullname","114","37"
"u5_iden_grp[1]/u5_age","114","37"
"u5_iden_grp[1]/u5_ct_id","114","37"
"u5_iden_grp[1]/u5_ct_fullname","114","37"
"gm1_a","23","151"
"gmobs1","6","153"
"gmobs2","8","158"
"an8","157","163"
"an9","22","317"
"an11_grp[1]/an11_a","11","335"
"an11_grp[1]/an11","11","335"
"an12","7","337"
"an13","2","340"
"an15","2","341"
