"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","9","4"
"enum_confirm_grp[1]/enum_details","2","13"
"enum_confirm_grp[1]/enum_confirm","2","13"
"community_id","77","15"
"comm_confirm_grp[1]/comm_details","8","92"
"comm_confirm_grp[1]/comm_confirm","8","92"
"hhid_grp[1]/hhid_instruction","50","100"
"hhid_grp[1]/hhid_struct_num","50","100"
"hhid_grp[1]/hhid_hh_num","50","100"
"hhid_confirm_grp[1]/hhid_details","2","150"
"hhid_confirm_grp[1]/hhid_confirm","2","150"
"consent_grp[1]/consent_instr","278","153"
"consent_grp[1]/consent","278","153"
"consented_grp[1]/hh_note","375","431"
"consented_grp[1]/hhm_cnt","242","684"
"consented_grp[1]/rooster_note","20","1047"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","1067"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","1067"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","26","1067"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","3","1092"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","4","1096"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","4","1099"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","18","1103"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","8","1121"
"consented_grp[1]/hhm_rpt[1]/ed4","15","1130"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","4","1145"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","4","1145"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","22","1149"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","22","1149"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","22","1149"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","6","1172"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","3","1178"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","16","1180"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","21","1196"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","3","1217"
"consented_grp[1]/hhm_rpt[2]/ed4","11","1220"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","13","1231"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","13","1231"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","31","1244"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","31","1244"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","31","1244"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","14","1275"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","7","1290"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","4","1297"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","21","1300"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","3","1321"
"consented_grp[1]/hhm_rpt[3]/ed4","10","1324"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","7","1335"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","6","1341"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","3","1347"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","4","1350"
"consented_grp[1]/hhm_rpt[3]/ed9","3","1354"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","7","1357"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","4","1363"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","29","1367"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed13","4","1396"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","28","1400"
"consented_grp[1]/hhm_rpt[3]/ed15","5","1429"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","4","1434"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","4","1434"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","18","1438"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","18","1438"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","18","1438"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","5","1456"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","8","1461"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","11","1470"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","16","1481"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","3","1497"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","24","1501"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","24","1501"
"consented_grp[1]/hhm_ch_intro","20","1525"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","9","1545"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","5","1553"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","4","1558"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","40","1562"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","8","1601"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","6","1610"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","11","1616"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","2","1627"
