"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","7","9"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"u5_iden_grp[1]/u5_id","45","17"
"u5_iden_grp[1]/u5_fullname","45","17"
"u5_iden_grp[1]/u5_age","45","17"
"u5_iden_grp[1]/u5_ct_id","45","17"
"u5_iden_grp[1]/u5_ct_fullname","45","17"
"uf9","2","62"
"consent_grp[1]/consent","3","64"
"consented_grp[1]/ub0","1","66"
"consented_grp[1]/ub1_age_sel","1","67"
"consented_grp[1]/ub1_dob_dmy","14","69"
"consented_grp[1]/ub5","10","83"
"consented_grp[1]/ub8b","5","88"
"consented_grp[1]/ub9","4","92"
"consented_grp[1]/ub6","9","98"
"consented_grp[1]/ub7","13","102"
"consented_grp[1]/br1","9","124"
"consented_grp[1]/ec1","7","133"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","12","140"
"consented_grp[1]/ec2_grp[1]/ec2_label","12","140"
"consented_grp[1]/ec2_grp[1]/ec2a","12","140"
"consented_grp[1]/ec2_grp[1]/ec2b","12","140"
"consented_grp[1]/ec2_grp[1]/ec2c","12","140"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","21","151"
"consented_grp[1]/ec3_grp[1]/ec3a","21","151"
"consented_grp[1]/ec3_grp[1]/ec3b","21","151"
"consented_grp[1]/ec5_grp[1]/ec5","46","172"
"consented_grp[1]/ec5_grp[1]/ec5_label","46","172"
"consented_grp[1]/ec5_grp[1]/ec5a","46","172"
"consented_grp[1]/ec5_grp[1]/ec5b","46","172"
"consented_grp[1]/ec5_grp[1]/ec5c","46","172"
"consented_grp[1]/ec5_grp[1]/ec5d","46","172"
"consented_grp[1]/ec5_grp[1]/ec5e","46","172"
"consented_grp[1]/ec5_grp[1]/ec5f","46","172"
"consented_grp[1]/ec6_grp[1]/ec6_note","23","218"
"consented_grp[1]/ec6_grp[1]/ec6","23","218"
"consented_grp[1]/ec7","12","241"
"consented_grp[1]/ec8","9","253"
"consented_grp[1]/ec9","7","262"
"consented_grp[1]/ec10","14","269"
"consented_grp[1]/ec11","9","283"
