"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","4","6"
"enum_id","4","8"
"enum_confirm_grp[1]/enum_details","6","11"
"enum_confirm_grp[1]/enum_confirm","6","11"
"community_id","6","16"
"comm_confirm_grp[1]/comm_details","3","20"
"comm_confirm_grp[1]/comm_confirm","3","20"
"u5_iden_grp[1]/u5_id","88","21"
"u5_iden_grp[1]/u5_fullname","88","21"
"u5_iden_grp[1]/u5_age","88","21"
"u5_iden_grp[1]/u5_ct_id","88","21"
"u5_iden_grp[1]/u5_ct_fullname","88","21"
"uf9","2","79"
"consent_grp[1]/consent","5","80"
"consented_grp[1]/ub0","2","84"
"consented_grp[1]/ub1_age_sel","3","85"
"consented_grp[1]/ub1_dob_dmy","17","87"
"consented_grp[1]/ub5","2","96"
"consented_grp[1]/ub9","2","98"
"consented_grp[1]/br1","3","99"
"consented_grp[1]/ec1","4","101"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","9","103"
"consented_grp[1]/ec2_grp[1]/ec2_label","9","103"
"consented_grp[1]/ec2_grp[1]/ec2a","9","103"
"consented_grp[1]/ec2_grp[1]/ec2b","9","103"
"consented_grp[1]/ec2_grp[1]/ec2c","9","103"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","13","111"
"consented_grp[1]/ec3_grp[1]/ec3a","13","111"
"consented_grp[1]/ec3_grp[1]/ec3b","13","111"
"consented_grp[1]/ec7","1","123"
"consented_grp[1]/ec8","1","125"
"consented_grp[1]/ec9","4","126"
"consented_grp[1]/ec10","1","128"
"consented_grp[1]/ec11","2","130"
"consented_grp[1]/ec12","1","132"
"consented_grp[1]/ec13","2","133"
"consented_grp[1]/ec14","9","134"
"consented_grp[1]/ec15","3","143"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","30","145"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","30","145"
"consented_grp[1]/ucd2_grp[1]/ucd2a","30","145"
"consented_grp[1]/ucd2_grp[1]/ucb2b","30","145"
"consented_grp[1]/ucd2_grp[1]/ucb2c","30","145"
"consented_grp[1]/ucd2_grp[1]/ucb2d","30","145"
"consented_grp[1]/ucd2_grp[1]/ucb2e","30","145"
"consented_grp[1]/ucd2_grp[1]/ucb2f","30","145"
"consented_grp[1]/ucd2_grp[1]/ucb2g","30","145"
"consented_grp[1]/ucd2_grp[1]/ucb2h","30","145"
"consented_grp[1]/ucd2_grp[1]/ucb2i","30","145"
"consented_grp[1]/ucd2_grp[1]/ucb2j","30","145"
"consented_grp[1]/ucd3","6","174"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","7","176"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","7","176"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","7","176"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","7","176"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","7","176"
"consented_grp[1]/ucf_grp[1]/ucf5","2","182"
"consented_grp[1]/ucf_grp[1]/ucf7b","1","184"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","186"
"consented_grp[1]/ucf_grp[1]/ucf13","2","187"
"consented_grp[1]/ucf_grp[1]/ucf14","2","189"
"consented_grp[1]/ucf_grp[1]/ucf15","6","191"
"consented_grp[1]/ucf_grp[1]/ucf16","9","197"
"consented_grp[1]/ucf_grp[1]/ucf17","2","206"
"consented_grp[1]/ucf_grp[1]/ucf18","3","209"
"consented_grp[1]/ucf_grp[1]/ucf19","2","211"
"consented_grp[1]/bd_grp[1]/bd2","2","214"
"consented_grp[1]/bd_grp[1]/bd3","2","216"
"consented_grp[1]/bd_grp[1]/bd4","2","218"
"consented_grp[1]/bd_grp[1]/bd5","5","220"
"consented_grp[1]/bd_grp[1]/bd6","9","224"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","14","231"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","14","231"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","14","231"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","14","231"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","14","231"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","14","231"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","2","245"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","2","245"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","2","247"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","2","247"
"consented_grp[1]/bd_grp[1]/bd8","3","248"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","3","250"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","2","250"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","252"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","2","253"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","2","255"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","1","256"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","5","257"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","9","261"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e2","3","270"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","7","272"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","11","277"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","12","290"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","1","301"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","4","302"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","3","305"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","5","307"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","1","311"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","5","312"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m2","1","316"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","3","317"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","1","319"
"consented_grp[1]/im2","13","320"
"consented_grp[1]/im5","2","332"
"consented_grp[1]/im6_note","29","333"
"consented_grp[1]/im6_rpt[1]/im6","2","362"
"consented_grp[1]/im6_rpt[1]/im6a","66","363"
"consented_grp[1]/im6_rpt[2]/im6","3","404"
"consented_grp[1]/im6_rpt[2]/im6a","21","406"
"consented_grp[1]/im6_rpt[3]/im6","3","415"
"consented_grp[1]/im6_rpt[3]/im6a","32","416"
"consented_grp[1]/im6_rpt[4]/im6","13","433"
"consented_grp[1]/im6_rpt[4]/im6a","23","434"
"consented_grp[1]/im6_rpt[5]/im6","14","442"
"consented_grp[1]/im6_rpt[5]/im6a","29","443"
"consented_grp[1]/im6_rpt[6]/im6","86","453"
"consented_grp[1]/im6_rpt[6]/im6a","16","528"
"consented_grp[1]/im6_rpt[7]/im6","12","576"
"consented_grp[1]/im6_rpt[7]/im6a","23","586"
"consented_grp[1]/im6_rpt[8]/im6","3","600"
"consented_grp[1]/im6_rpt[8]/im6a","18","602"
"consented_grp[1]/im6_rpt[9]/im6","7","614"
"consented_grp[1]/im6_rpt[10]/im6","3","618"
"consented_grp[1]/im6_rpt[11]/im6","28","619"
"consented_grp[1]/im6_rpt[12]/im6","5","625"
"consented_grp[1]/im6_rpt[13]/im6","3","626"
"consented_grp[1]/im6_rpt[13]/im6a","23","628"
"consented_grp[1]/im6_rpt[14]/im6","32","641"
"consented_grp[1]/im6_rpt[14]/im6a","26","658"
"consented_grp[1]/im6_rpt[15]/im6","4","670"
"consented_grp[1]/im6_rpt[15]/im6a","15","671"
"consented_grp[1]/ca1","10","677"
"consented_grp[1]/ca14","6","684"
"consented_grp[1]/ca16","2","686"
"consented_grp[1]/ca17","1","687"
"consented_grp[1]/ca31","9","688"
"consented_grp[1]/gps_backup","367","694"
"consented_grp[1]/im6_rpt[9]/im6a","11","939"
"consented_grp[1]/im6_rpt[10]/im6a","11","952"
"consented_grp[1]/im6_rpt[11]/im6a","10","985"
"consented_grp[1]/im6_rpt[12]/im6a","10","998"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","30","1056"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","30","1056"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","30","1056"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","30","1056"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","30","1056"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","30","1056"
"consented_grp[1]/im8_im27_grp[1]/im9","6","1073"
"comments","6","1467"
