"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","107","10"
"enum_confirm_grp[1]/enum_confirm","107","10"
"community_id","50","117"
"comm_confirm_grp[1]/comm_details","13","167"
"comm_confirm_grp[1]/comm_confirm","13","167"
"iw_iden_grp[1]/iw_id","267","172"
"iw_iden_grp[1]/iw_fullname","267","172"
"iw_iden_grp[1]/iw_age","267","172"
"wm8","6","447"
"wm9_grp[1]/wm9a","368","453"
"wm9_grp[1]/consent","368","453"
"consented_grp[1]/wb3_age_sel","66","821"
"consented_grp[1]/wb3_dob_dmy","43","887"
"consented_grp[1]/wb5","15","930"
"consented_grp[1]/wb5_grp[1]/wb6","45","939"
"consented_grp[1]/wb5_grp[1]/wb6a","32","978"
"consented_grp[1]/wb5_grp[1]/wb6b","15","1001"
"consented_grp[1]/wb5_grp[1]/wb7","11","1006"
"consented_grp[1]/wb5_grp[1]/wb10a","27","1008"
"consented_grp[1]/wb5_grp[1]/wb10b","54","1036"
"consented_grp[1]/wb5_grp[1]/wb12a","58","1045"
"consented_grp[1]/wb5_grp[1]/wb12b","34","1081"
"consented_grp[1]/wb14_grp[1]/wb14_note","93","1100"
"consented_grp[1]/wb14_grp[1]/wb14","93","1100"
"consented_grp[1]/wb15","61","1289"
"consented_grp[1]/wb16_grp[1]/wb16a","48","1346"
"consented_grp[1]/wb16_grp[1]/wb16_note","48","1346"
"consented_grp[1]/wb16_grp[1]/wb16b","48","1346"
"consented_grp[1]/wb17a","10","1388"
"consented_grp[1]/wb17b","6","1396"
"consented_grp[1]/wb18","16","1401"
"consented_grp[1]/mt1","39","1415"
"consented_grp[1]/mt2","11","1452"
"consented_grp[1]/mt3","11","1460"
"consented_grp[1]/mt4","68","1470"
"consented_grp[1]/mt5","33","1535"
"consented_grp[1]/mt9","20","1557"
"consented_grp[1]/mt11","9","1571"
"consented_grp[1]/mt12","70","1578"
"consented_grp[1]/cm1","106","1634"
"consented_grp[1]/cm2","25","1727"
"consented_grp[1]/cm2_grp[1]/cm3","36","1741"
"consented_grp[1]/cm2_grp[1]/cm4","36","1741"
"consented_grp[1]/cm5","29","1770"
"consented_grp[1]/cm5_grp[1]/cm6","14","1783"
"consented_grp[1]/cm5_grp[1]/cm7","14","1783"
"consented_grp[1]/cm8","30","1795"
"consented_grp[1]/cm12","31","1816"
"consented_grp[1]/bh0","53","1838"
"consented_grp[1]/bh_rpt[1]/bh1","24","1887"
"consented_grp[1]/bh_rpt[1]/bh2","11","1899"
"consented_grp[1]/bh_rpt[1]/bh3","15","1908"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","23","1921"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","44","1938"
"consented_grp[1]/bh_rpt[1]/bh5","8","1980"
"consented_grp[1]/bh_rpt[1]/bh6","50","1985"
"consented_grp[1]/bh_rpt[1]/bh7","9","2032"
"consented_grp[1]/bh_rpt[1]/bh8","51","2035"
"consented_grp[1]/bh_rpt[1]/bh10","77","2073"
"consented_grp[1]/cm15","4","2117"
"consented_grp[1]/bh_rpt[2]/bh1","97","2125"
"consented_grp[1]/bh_rpt[2]/bh2","9","2182"
"consented_grp[1]/bh_rpt[2]/bh3","6","2190"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","9","2195"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","69","2201"
"consented_grp[1]/bh_rpt[2]/bh5","13","2231"
"consented_grp[1]/bh_rpt[2]/bh6","71","2235"
"consented_grp[1]/bh_rpt[2]/bh7","11","2259"
"consented_grp[1]/bh_rpt[2]/bh10","10","2265"
"consented_grp[1]/bh_rpt[3]/bh1","438","2269"
"consented_grp[1]/bh_rpt[3]/bh2","14","2800"
"consented_grp[1]/bh_rpt[3]/bh3","4","2813"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","6","2816"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","21","2821"
"consented_grp[1]/bh_rpt[3]/bh5","7","2842"
"consented_grp[1]/bh_rpt[3]/bh6","30","2848"
"consented_grp[1]/bh_rpt[3]/bh7","8","2875"
"consented_grp[1]/bh_rpt[3]/bh10","96","2880"
"consented_grp[1]/bh_rpt[4]/bh1","26","2973"
"consented_grp[1]/bh_rpt[4]/bh2","11","2993"
"consented_grp[1]/bh_rpt[4]/bh3","6","2999"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","7","3001"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","31","3004"
"consented_grp[1]/bh_rpt[4]/bh5","9","3032"
"consented_grp[1]/bh_rpt[4]/bh6","36","3036"
"consented_grp[1]/bh_rpt[4]/bh7","13","3063"
"consented_grp[1]/bh_rpt[4]/bh8","21","3104"
"consented_grp[1]/bh_rpt[4]/bh10","7","3123"
"consented_grp[1]/bh_rpt[5]/bh1","20","3128"
"consented_grp[1]/bh_rpt[5]/bh2","3","3147"
"consented_grp[1]/bh_rpt[5]/bh3","8","3149"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","9","3155"
"consented_grp[1]/bh_rpt[5]/bh4_dob_dmy","27","3163"
"consented_grp[1]/bh_rpt[5]/bh5","4","3189"
"consented_grp[1]/bh_rpt[5]/bh6","31","3191"
"consented_grp[1]/bh_rpt[5]/bh7","6","3220"
"consented_grp[1]/bh_rpt[5]/bh8","23","3225"
"consented_grp[1]/bh_rpt[5]/bh10","12","3246"
"consented_grp[1]/db2","11","3257"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","16","3266"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","23","3281"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","53","3302"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","53","3302"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","33","3353"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","43","3370"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","43","3370"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","43","3370"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","43","3370"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","43","3370"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","36","3421"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","17","3461"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","13","3476"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","17","3487"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","11","3503"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","28","3509"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","48","3534"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","58","3580"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","23","3636"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn22","10","3653"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","33","3668"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","17","3689"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","28","3714"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","49","3730"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","19","3757"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","35","3786"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31_osp","32","3806"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","32","3833"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","19","3858"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","18","3868"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","21","3881"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","57","3890"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","57","3890"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","19","3930"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","13","3946"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","49","3958"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","49","3958"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","48","3981"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","48","3981"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","32","4023"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","32","4023"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","37","4051"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","37","4051"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","17","4082"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","62","4097"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","62","4097"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","62","4097"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","62","4097"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","62","4097"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","17","4146"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","63","4155"
"consented_grp[1]/cp1_grp[1]/cp1_note","26","4210"
"consented_grp[1]/cp1_grp[1]/cp1","26","4210"
"consented_grp[1]/cp3","6","4228"
"consented_grp[1]/cp2_grp[1]/cp2_note","13","4239"
"consented_grp[1]/cp2_grp[1]/cp2","13","4239"
"consented_grp[1]/cp4","6","4247"
"consented_grp[1]/un7","35","4250"
"consented_grp[1]/ma1","23","4271"
"consented_grp[1]/ma2","37","4291"
"consented_grp[1]/ma3","77","4320"
"consented_grp[1]/ma7","16","4394"
"consented_grp[1]/ma8a","50","4407"
"consented_grp[1]/ma11a","116","4448"
"consented_grp[1]/af_grp[1]/af2","16","4525"
"consented_grp[1]/af_grp[1]/af3","9","4534"
"consented_grp[1]/af_grp[1]/af4","36","4540"
"consented_grp[1]/af_grp[1]/af6b","17","4573"
"consented_grp[1]/af_grp[1]/af8b","6","4587"
"consented_grp[1]/af_grp[1]/af9","7","4592"
"consented_grp[1]/af_grp[1]/af10","12","4597"
"consented_grp[1]/af_grp[1]/af11","10","4606"
"consented_grp[1]/af_grp[1]/af12","14","4615"
"consented_grp[1]/ls1_grp[1]/ls_note","128","4629"
"consented_grp[1]/ls1_grp[1]/ls1","128","4629"
"consented_grp[1]/ls2_grp[1]/ls2_note","106","4755"
"consented_grp[1]/ls2_grp[1]/ls2","106","4755"
"consented_grp[1]/ls3","33","4857"
"consented_grp[1]/ls4","37","4889"
"consented_grp[1]/survey_language","7","4925"
"consented_grp[1]/survey_accomp","8","4930"
"consented_grp[1]/survey_accomp_enum","44","4933"
"consented_grp[1]/comment","9","4978"
