"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","9","7"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"u5_iden_grp[1]/u5_id","32","17"
"u5_iden_grp[1]/u5_fullname","32","17"
"u5_iden_grp[1]/u5_age","32","17"
"u5_iden_grp[1]/u5_ct_id","32","17"
"u5_iden_grp[1]/u5_ct_fullname","32","17"
"uf9","1","49"
"consent_grp[1]/consent","2","50"
"consented_grp[1]/ub0","1","52"
"consented_grp[1]/ub1_age_sel","1","53"
"consented_grp[1]/ub1_dob_dmy","5","54"
"consented_grp[1]/ub5","3","59"
"consented_grp[1]/ub9","1","61"
"consented_grp[1]/br1","3","63"
"consented_grp[1]/ec1","9","66"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","16","75"
"consented_grp[1]/ec2_grp[1]/ec2_label","16","75"
"consented_grp[1]/ec2_grp[1]/ec2a","16","75"
"consented_grp[1]/ec2_grp[1]/ec2b","16","75"
"consented_grp[1]/ec2_grp[1]/ec2c","16","75"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","21","91"
"consented_grp[1]/ec3_grp[1]/ec3a","21","91"
"consented_grp[1]/ec3_grp[1]/ec3b","21","91"
"consented_grp[1]/ec7","2","112"
"consented_grp[1]/ec8","2","114"
"consented_grp[1]/ec9","2","116"
"consented_grp[1]/ec10","5","117"
"consented_grp[1]/ec11","5","122"
"consented_grp[1]/ec12","3","127"
"consented_grp[1]/ec13","6","130"
"consented_grp[1]/ec14","2","137"
"consented_grp[1]/ec15","7","139"
"consented_grp[1]/bd_grp[1]/bd2","4","141"
"consented_grp[1]/bd_grp[1]/bd3","1","150"
"consented_grp[1]/bd_grp[1]/bd4","13","152"
"consented_grp[1]/bd_grp[1]/bd5","5","164"
