"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","15"
"enum_id","5","17"
"enum_confirm_grp[1]/enum_details","1","22"
"enum_confirm_grp[1]/enum_confirm","1","22"
"community_id","6","23"
"comm_confirm_grp[1]/comm_details","1","29"
"comm_confirm_grp[1]/comm_confirm","1","29"
"iw_iden_grp[1]/iw_id","20","30"
"iw_iden_grp[1]/iw_fullname","20","30"
"iw_iden_grp[1]/iw_age","20","30"
"wm8","1","50"
"wm9_grp[1]/wm9b","5","51"
"wm9_grp[1]/consent","5","51"
"consented_grp[1]/wb3_age_sel","2","56"
"consented_grp[1]/wb3_dob_dmy","53","58"
"consented_grp[1]/age_correct_info","5","85"
"consented_grp[1]/wb5","2","116"
"consented_grp[1]/wb5_grp[1]/wb6","4","118"
"consented_grp[1]/wb5_grp[1]/wb6a","2","123"
"consented_grp[1]/wb5_grp[1]/wb6b","2","124"
"consented_grp[1]/wb5_grp[1]/wb7","1","126"
"consented_grp[1]/wb5_grp[1]/wb10a","2","127"
"consented_grp[1]/wb5_grp[1]/wb10b","1","129"
"consented_grp[1]/wb5_grp[1]/wb12a","1","130"
"consented_grp[1]/wb5_grp[1]/wb12b","1","132"
"consented_grp[1]/wb15","15","132"
"consented_grp[1]/wb18","2","148"
"consented_grp[1]/mt1","1","150"
"consented_grp[1]/mt2","1","151"
"consented_grp[1]/mt3","1","152"
"consented_grp[1]/mt4","4","154"
"consented_grp[1]/mt9","1","155"
"consented_grp[1]/mt11","3","157"
"consented_grp[1]/mt12","3","159"
"consented_grp[1]/cm1","2","164"
"consented_grp[1]/cm2","2","166"
"consented_grp[1]/cm2_grp[1]/cm3","3","168"
"consented_grp[1]/cm2_grp[1]/cm4","3","168"
"consented_grp[1]/cm5","4","171"
"consented_grp[1]/cm8","3","175"
"consented_grp[1]/cm12","2","178"
"consented_grp[1]/bh0","1","180"
"consented_grp[1]/bh_rpt[1]/bh1","10","181"
"consented_grp[1]/bh_rpt[1]/bh2","1","191"
"consented_grp[1]/bh_rpt[1]/bh3","1","192"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","9","193"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","25","202"
"consented_grp[1]/bh_rpt[1]/bh5","4","212"
"consented_grp[1]/bh_rpt[1]/bh6","4","213"
"consented_grp[1]/bh_rpt[1]/bh7","4","215"
"consented_grp[1]/bh_rpt[1]/bh8","10","217"
"consented_grp[1]/bh_rpt[1]/bh10","4","224"
"consented_grp[1]/bh_rpt[2]/bh1","12","226"
"consented_grp[1]/bh_rpt[2]/bh2","3","235"
"consented_grp[1]/bh_rpt[2]/bh3","3","236"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","26","238"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","9","239"
"consented_grp[1]/bh_rpt[2]/bh5","1","305"
"consented_grp[1]/bh_rpt[2]/bh6","2","306"
"consented_grp[1]/bh_rpt[2]/bh7","1","309"
"consented_grp[1]/bh_rpt[2]/bh8","4","310"
"consented_grp[1]/bh_rpt[2]/bh10","1","314"
"consented_grp[1]/db2","3","315"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","5","318"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","2","323"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","6","324"
