"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","21","16"
"enum_id","5","37"
"enum_confirm_grp[1]/enum_details","1","42"
"enum_confirm_grp[1]/enum_confirm","1","42"
"community_id","2","43"
"comm_confirm_grp[1]/comm_details","1","45"
"comm_confirm_grp[1]/comm_confirm","1","45"
"u5_iden_grp[1]/u5_id","107","47"
"u5_iden_grp[1]/u5_fullname","107","47"
"u5_iden_grp[1]/u5_age","107","47"
"u5_iden_grp[1]/u5_ct_id","107","47"
"u5_iden_grp[1]/u5_ct_fullname","107","47"
"gm1_a","3","152"
"gm1_b","4","153"
"gm2_rpt[1]/gm2_grp[1]/gm3","2","160"
"gm2_rpt[1]/gm2_grp[1]/gm4","1","162"
"gm2_rpt[1]/gm2_grp[1]/gm5","1","163"
"gm2_rpt[1]/gm2_grp[1]/gm6","1","164"
"gm2_rpt[1]/gm2_grp[1]/gm7","4","165"
"gmobs1","1","169"
"gmobs2","1","171"
"an8","22","172"
"an9","3","194"
"an11_grp[1]/an11_b","16","197"
"an11_grp[1]/an11","16","197"
"an12","20","208"
"an13","5","215"
"an15","1","238"
