"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","14"
"enum_id","5","15"
"enum_confirm_grp[1]/enum_details","2","17"
"enum_confirm_grp[1]/enum_confirm","2","17"
"community_id","6","18"
"comm_confirm_grp[1]/comm_details","2","22"
"comm_confirm_grp[1]/comm_confirm","2","22"
"iw_iden_grp[1]/iw_id","33","23"
"iw_iden_grp[1]/iw_fullname","33","23"
"iw_iden_grp[1]/iw_age","33","23"
"wm8","3","52"
"wm9_grp[1]/wm9b","17","54"
"wm9_grp[1]/consent","17","54"
"consented_grp[1]/wb3_age_sel","3","70"
"consented_grp[1]/wb3_dob_dmy","24","72"
"consented_grp[1]/wb5","3","93"
"consented_grp[1]/wb14_grp[1]/wb14_note","6","95"
"consented_grp[1]/wb14_grp[1]/wb14","6","95"
"consented_grp[1]/wb15","7","99"
"consented_grp[1]/wb16_grp[1]/wb16a","31","104"
"consented_grp[1]/wb16_grp[1]/wb16_note","31","104"
"consented_grp[1]/wb16_grp[1]/wb16b","31","104"
"consented_grp[1]/wb17a","6","128"
"consented_grp[1]/wb17b","2","131"
"consented_grp[1]/wb18","3","132"
"consented_grp[1]/mt1","3","134"
"consented_grp[1]/mt2","21","136"
"consented_grp[1]/mt3","15","155"
"consented_grp[1]/mt4","5","166"
"consented_grp[1]/mt9","3","168"
"consented_grp[1]/mt11","4","170"
"consented_grp[1]/mt12","3","174"
"consented_grp[1]/cm1","7","176"
"consented_grp[1]/cm2","4","182"
"consented_grp[1]/cm2_grp[1]/cm3","21","185"
"consented_grp[1]/cm2_grp[1]/cm4","21","185"
"consented_grp[1]/cm5","4","203"
"consented_grp[1]/cm5_grp[1]/cm6","15","206"
"consented_grp[1]/cm5_grp[1]/cm7","15","206"
"consented_grp[1]/cm8","4","217"
"consented_grp[1]/cm8_grp[1]/cm9","7","219"
"consented_grp[1]/cm8_grp[1]/cm10","7","219"
"consented_grp[1]/cm12","14","224"
"consented_grp[1]/bh0","3","237"
"consented_grp[1]/bh_rpt[1]/bh1","31","239"
"consented_grp[1]/bh_rpt[1]/bh2","2","262"
"consented_grp[1]/bh_rpt[1]/bh3","4","264"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","5","266"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","26","271"
"consented_grp[1]/bh_rpt[1]/bh5","4","295"
"consented_grp[1]/bh_rpt[1]/bh6","4","298"
"consented_grp[1]/bh_rpt[1]/bh7","2","299"
"consented_grp[1]/bh_rpt[1]/bh10","2","301"
"consented_grp[1]/bh_rpt[2]/bh1","14","302"
"consented_grp[1]/bh_rpt[2]/bh2","3","313"
"consented_grp[1]/bh_rpt[2]/bh3","5","315"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","3","316"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","10","319"
"consented_grp[1]/bh_rpt[2]/bh5","3","328"
"consented_grp[1]/bh_rpt[2]/bh6","15","330"
"consented_grp[1]/bh_rpt[2]/bh7","4","344"
"consented_grp[1]/bh_rpt[2]/bh10","2","347"
"consented_grp[1]/bh_rpt[3]/bh1","11","348"
"consented_grp[1]/bh_rpt[3]/bh2","2","357"
"consented_grp[1]/bh_rpt[3]/bh3","3","358"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","7","360"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","13","362"
"consented_grp[1]/bh_rpt[3]/bh5","3","373"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_note","21","375"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_a","21","375"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_b","21","375"
"consented_grp[1]/bh_rpt[3]/bh10","5","394"
"consented_grp[1]/bh_rpt[4]/bh1","12","398"
"consented_grp[1]/bh_rpt[4]/bh2","2","408"
"consented_grp[1]/bh_rpt[4]/bh3","2","409"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","2","410"
"consented_grp[1]/bh_rpt[4]/bh4_dob_my","16","412"
