"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","5"
"enum_id","9","6"
"enum_confirm_grp[1]/enum_details","1","16"
"enum_confirm_grp[1]/enum_confirm","1","16"
"community_id","7","17"
"comm_confirm_grp[1]/comm_details","1","24"
"comm_confirm_grp[1]/comm_confirm","1","24"
"hhid_grp[1]/hhid_instruction","11","25"
"hhid_grp[1]/hhid_struct_num","11","25"
"hhid_grp[1]/hhid_hh_num","11","25"
"hhid_confirm_grp[1]/hhid_details","1","36"
"hhid_confirm_grp[1]/hhid_confirm","1","36"
"consent_grp[1]/consent_instr","167","37"
"consent_grp[1]/consent","167","37"
"consented_grp[1]/hh_note","2","204"
"consented_grp[1]/hhm_cnt","8","206"
"consented_grp[1]/rooster_note","11","213"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","39","225"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","39","225"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","39","225"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","264"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","266"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","268"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_y","14","270"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","2","285"
"consented_grp[1]/hhm_rpt[1]/ed4","5","287"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","12","292"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","3","303"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","2","306"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","2","308"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","310"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","310"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","24","311"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","24","311"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","24","311"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","335"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","5","336"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","341"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","30","343"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","373"
"consented_grp[1]/hhm_rpt[2]/ed4","2","375"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","15","377"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","19","392"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","2","411"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","2","412"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","2","414"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","2","414"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","27","416"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","27","416"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","27","416"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","443"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","445"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","447"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","27","450"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","13","476"
"consented_grp[1]/hhm_rpt[3]/ed4","4","489"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","1","493"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","4","494"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","2","498"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","1","500"
"consented_grp[1]/hhm_rpt[3]/ed9","2","501"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","1","503"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","12","505"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","15","516"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","1","531"
"consented_grp[1]/hhm_rpt[3]/ed15","10","533"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","1","542"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","2","544"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","2","545"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","2","545"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","20","547"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","20","547"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","20","547"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","2","567"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","2","569"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","1","571"
