"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","17"
"enum_id","6","19"
"enum_confirm_grp[1]/enum_details","1","25"
"enum_confirm_grp[1]/enum_confirm","1","25"
"community_id","12","26"
"comm_confirm_grp[1]/comm_details","1","37"
"comm_confirm_grp[1]/comm_confirm","1","37"
"u5_iden_grp[1]/u5_id","64","38"
"u5_iden_grp[1]/u5_fullname","64","38"
"u5_iden_grp[1]/u5_age","64","38"
"u5_iden_grp[1]/u5_ct_id","64","38"
"u5_iden_grp[1]/u5_ct_fullname","64","38"
"uf9","2","102"
"consent_grp[1]/consent","3","104"
"consented_grp[1]/ub0","1","107"
"consented_grp[1]/ub1_age_sel","2","108"
"consented_grp[1]/ub1_dob_dmy","22","110"
"consented_grp[1]/ub5","4","132"
"consented_grp[1]/ub8b","12","136"
"consented_grp[1]/ub9","20","148"
"consented_grp[1]/br1","11","168"
"consented_grp[1]/br2","30","177"
"consented_grp[1]/ec1","9","209"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","35","218"
"consented_grp[1]/ec2_grp[1]/ec2_label","35","218"
"consented_grp[1]/ec2_grp[1]/ec2a","35","218"
"consented_grp[1]/ec2_grp[1]/ec2b","35","218"
"consented_grp[1]/ec2_grp[1]/ec2c","35","218"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","24","253"
"consented_grp[1]/ec3_grp[1]/ec3a","24","253"
"consented_grp[1]/ec3_grp[1]/ec3b","24","253"
"consented_grp[1]/ec5_grp[1]/ec5","59","277"
"consented_grp[1]/ec5_grp[1]/ec5_label","59","277"
"consented_grp[1]/ec5_grp[1]/ec5a","59","277"
"consented_grp[1]/ec5_grp[1]/ec5b","59","277"
"consented_grp[1]/ec5_grp[1]/ec5c","59","277"
"consented_grp[1]/ec5_grp[1]/ec5d","59","277"
"consented_grp[1]/ec5_grp[1]/ec5e","59","277"
"consented_grp[1]/ec5_grp[1]/ec5f","59","277"
"consented_grp[1]/ec6_grp[1]/ec6_note","8","336"
"consented_grp[1]/ec6_grp[1]/ec6","8","336"
"consented_grp[1]/ec7","4","344"
"consented_grp[1]/ec8","3","348"
"consented_grp[1]/ec9","5","352"
"consented_grp[1]/ec10","5","356"
"consented_grp[1]/ec11","7","361"
"consented_grp[1]/ec12","1","368"
