"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","16"
"enum_id","5","18"
"enum_confirm_grp[1]/enum_details","6","23"
"enum_confirm_grp[1]/enum_confirm","6","23"
"community_id","8","29"
"comm_confirm_grp[1]/comm_details","1","37"
"comm_confirm_grp[1]/comm_confirm","1","37"
"iw_iden_grp[1]/iw_id","48","38"
"iw_iden_grp[1]/iw_fullname","48","38"
"iw_iden_grp[1]/iw_age","48","38"
"wm8","4","81"
"wm9_grp[1]/wm9b","5","84"
"wm9_grp[1]/consent","5","84"
"consented_grp[1]/wb3_age_sel","4","87"
"consented_grp[1]/wb3_dob_dmy","15","89"
"consented_grp[1]/age_correct_info","9","102"
"consented_grp[1]/wb5","6","125"
"consented_grp[1]/wb5_grp[1]/wb6","3","131"
"consented_grp[1]/wb5_grp[1]/wb6a","2","134"
"consented_grp[1]/wb5_grp[1]/wb6b","2","136"
"consented_grp[1]/wb5_grp[1]/wb7","5","138"
"consented_grp[1]/wb5_grp[1]/wb9","4","142"
"consented_grp[1]/wb5_grp[1]/wb10a","2","147"
"consented_grp[1]/wb5_grp[1]/wb10b","2","148"
"consented_grp[1]/wb5_grp[1]/wb11","2","150"
"consented_grp[1]/wb5_grp[1]/wb12a","1","152"
"consented_grp[1]/wb5_grp[1]/wb12b","1","153"
"consented_grp[1]/wb14_grp[1]/wb14_note","50","154"
"consented_grp[1]/wb14_grp[1]/wb14","50","154"
"consented_grp[1]/wb15","24","204"
"consented_grp[1]/wb18","59","228"
"consented_grp[1]/wb19","31","288"
"consented_grp[1]/mt1","95","319"
"consented_grp[1]/mt2","4","413"
"consented_grp[1]/mt3","4","417"
"consented_grp[1]/mt4","4","421"
"consented_grp[1]/mt9","4","425"
"consented_grp[1]/mt11","5","430"
"consented_grp[1]/mt12","15","434"
"consented_grp[1]/cm1","9","449"
"consented_grp[1]/cm2","2","458"
"consented_grp[1]/cm2_grp[1]/cm3","6","460"
"consented_grp[1]/cm2_grp[1]/cm4","6","460"
"consented_grp[1]/cm5","2","467"
"consented_grp[1]/cm8","2","468"
"consented_grp[1]/cm12","4","471"
"consented_grp[1]/bh0","3","474"
"consented_grp[1]/bh_rpt[1]/bh1","19","477"
"consented_grp[1]/bh_rpt[1]/bh2","2","496"
"consented_grp[1]/bh_rpt[1]/bh3","3","498"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","2","501"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","15","503"
"consented_grp[1]/bh_rpt[1]/bh5","3","518"
"consented_grp[1]/bh_rpt[1]/bh6","4","521"
"consented_grp[1]/bh_rpt[1]/bh7","4","525"
"consented_grp[1]/bh_rpt[1]/bh8","5","529"
"consented_grp[1]/bh_rpt[1]/bh10","3","534"
"consented_grp[1]/db2","26","537"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","3","564"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","3","566"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","18","570"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","18","570"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","6","588"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","15","594"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","15","594"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","15","594"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","15","594"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","15","594"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","3","609"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","10","612"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","4","623"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","2","627"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","4","629"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","17","633"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","14","650"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","4","664"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","3","668"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","18","671"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","2","690"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","1","691"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","11","693"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","31","703"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","3","734"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","5","738"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","3","742"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","20","746"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","20","746"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","12","765"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","3","778"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","12","781"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","12","781"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","6","792"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn39a","10","798"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","2","808"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","12","810"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","12","810"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","8","822"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","8","822"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","2","830"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","2","830"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","2","832"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","2","832"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn12","5","835"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn13_grp[1]/pn13b","5","840"
