"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","282","89"
"enum_id","7","371"
"enum_confirm_grp[1]/enum_details","1","378"
"enum_confirm_grp[1]/enum_confirm","1","378"
"community_id","21","379"
"comm_confirm_grp[1]/comm_details","1","400"
"comm_confirm_grp[1]/comm_confirm","1","400"
"hhid","18","401"
"hh_confirm_grp[1]/hh_details","4","420"
"hh_confirm_grp[1]/hh_confirm","4","420"
"consent_grp[1]/consent_instr","170","424"
"consent_grp[1]/consent","170","424"
"consented_grp[1]/hh_note","2","594"
"consented_grp[1]/hhm_cnt","9","596"
"consented_grp[1]/rooster_note","23","604"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","11","627"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","11","627"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","11","627"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","637"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","1","639"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","640"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","3","643"
"consented_grp[1]/hhm_rpt[1]/ed4","2","645"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","647"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","647"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","17","649"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","17","649"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","17","649"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","666"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","667"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","669"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","2","671"
"consented_grp[1]/hhm_rpt[2]/ed4","2","674"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","4","675"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","4","675"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","15","680"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","15","680"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","15","680"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","8","695"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","703"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","705"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl6_age_est","2","707"
"consented_grp[1]/hhm_rpt[3]/ed4","3","709"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","2","712"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","2","712"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","714"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","714"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","714"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","11","728"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","2","739"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","3","741"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","8","744"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","2","752"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","2","752"
"consented_grp[1]/hhm_ch_intro","2","754"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","4","756"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","3","760"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","3","763"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","13","766"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","4","778"
"consented_grp[1]/hc_grp[1]/hc1b","10","783"
"consented_grp[1]/hc_grp[1]/hc2","3","793"
"consented_grp[1]/hc_grp[1]/hc4","7","796"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","11","803"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","11","803"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","11","803"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","11","803"
"consented_grp[1]/hc_grp[1]/hc8","3","815"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","5","818"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","5","818"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","5","818"
