"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","4","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","7","8"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"u5_iden_grp[1]/u5_id","59","16"
"u5_iden_grp[1]/u5_fullname","59","16"
"u5_iden_grp[1]/u5_age","59","16"
"u5_iden_grp[1]/u5_ct_id","59","16"
"u5_iden_grp[1]/u5_ct_fullname","59","16"
"gm1_a","2","75"
"gmobs1","2","78"
"gmobs2","3","80"
"an8","6","82"
"an9","2","89"
"an11_grp[1]/an11_b","6","91"
"an11_grp[1]/an11","6","91"
"an12","3","97"
"an13","9","100"
"an15","1","109"
