"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","7"
"enum_id","16","8"
"enum_confirm_grp[1]/enum_details","1","24"
"enum_confirm_grp[1]/enum_confirm","1","24"
"community_id","12","26"
"comm_confirm_grp[1]/comm_details","1","38"
"comm_confirm_grp[1]/comm_confirm","1","38"
"iw_iden_grp[1]/iw_id","43","39"
"iw_iden_grp[1]/iw_fullname","43","39"
"iw_iden_grp[1]/iw_age","43","39"
"wm8","2","82"
"wm9_grp[1]/wm9b","23","85"
"wm9_grp[1]/consent","23","85"
"consented_grp[1]/wb3_age_sel","5","107"
"consented_grp[1]/wb4_age_est","4","112"
"consented_grp[1]/wb5","5","116"
"consented_grp[1]/wb5_grp[1]/wb6","35","119"
"consented_grp[1]/wb5_grp[1]/wb6a","40","123"
"consented_grp[1]/wb5_grp[1]/wb6b","43","141"
"consented_grp[1]/wb5_grp[1]/wb7","19","147"
"consented_grp[1]/wb5_grp[1]/wb9","38","152"
"consented_grp[1]/wb5_grp[1]/wb10a","86","155"
"consented_grp[1]/wb5_grp[1]/wb10b","18","160"
"consented_grp[1]/wb5_grp[1]/wb11","22","166"
"consented_grp[1]/wb5_grp[1]/wb12a","53","172"
"consented_grp[1]/wb5_grp[1]/wb12b","4","259"
"consented_grp[1]/wb15","32","261"
"consented_grp[1]/wb16_grp[1]/wb16a","109","281"
"consented_grp[1]/wb16_grp[1]/wb16_note","109","281"
"consented_grp[1]/wb16_grp[1]/wb16b","109","281"
"consented_grp[1]/wb17a","126","347"
"consented_grp[1]/wb17b","4","473"
"consented_grp[1]/wb18","6","476"
"consented_grp[1]/mt1","21","483"
"consented_grp[1]/mt2","9","504"
"consented_grp[1]/mt3","8","513"
"consented_grp[1]/mt4","15","521"
"consented_grp[1]/mt9","17","536"
"consented_grp[1]/mt11","3","552"
"consented_grp[1]/mt12","39","556"
"consented_grp[1]/cm1","26","595"
"consented_grp[1]/cm2","9","621"
"consented_grp[1]/cm2_grp[1]/cm3","8","630"
"consented_grp[1]/cm2_grp[1]/cm4","8","630"
"consented_grp[1]/cm5","15","638"
"consented_grp[1]/cm5_grp[1]/cm6","5","647"
"consented_grp[1]/cm5_grp[1]/cm7","5","647"
"consented_grp[1]/cm8","11","658"
"consented_grp[1]/cm8_grp[1]/cm9","11","670"
"consented_grp[1]/cm8_grp[1]/cm10","11","670"
"consented_grp[1]/cm12","7","680"
"consented_grp[1]/bh0","13","687"
"consented_grp[1]/bh_rpt[1]/bh1","15","700"
"consented_grp[1]/bh_rpt[1]/bh2","2","715"
"consented_grp[1]/bh_rpt[1]/bh3","5","717"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","4","722"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","8","726"
