"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","7"
"enum_id","5","8"
"enum_confirm_grp[1]/enum_details","2","11"
"enum_confirm_grp[1]/enum_confirm","2","11"
"community_id","4","12"
"comm_confirm_grp[1]/comm_details","2","15"
"comm_confirm_grp[1]/comm_confirm","2","15"
"u5_iden_grp[1]/u5_id","40","16"
"u5_iden_grp[1]/u5_fullname","40","16"
"u5_iden_grp[1]/u5_age","40","16"
"u5_iden_grp[1]/u5_ct_id","40","16"
"u5_iden_grp[1]/u5_ct_fullname","40","16"
"uf9","2","52"
"consent_grp[1]/consent","2","53"
"consented_grp[1]/ub0","5","55"
"consented_grp[1]/ub1_age_sel","3","59"
"consented_grp[1]/ub1_dob_dmy","13","61"
"consented_grp[1]/ub5","3","72"
"consented_grp[1]/ub9","2","73"
"consented_grp[1]/br1","3","74"
"consented_grp[1]/br2","11","76"
"consented_grp[1]/br3","17","86"
"consented_grp[1]/ec1","8","102"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","17","104"
"consented_grp[1]/ec2_grp[1]/ec2_label","17","104"
"consented_grp[1]/ec2_grp[1]/ec2a","17","104"
"consented_grp[1]/ec2_grp[1]/ec2b","17","104"
"consented_grp[1]/ec2_grp[1]/ec2c","17","104"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","22","124"
"consented_grp[1]/ec3_grp[1]/ec3a","22","124"
"consented_grp[1]/ec3_grp[1]/ec3b","22","124"
"consented_grp[1]/ec7","3","145"
"consented_grp[1]/ec8","8","146"
"consented_grp[1]/ec9","8","151"
"consented_grp[1]/ec10","19","153"
"consented_grp[1]/ec11","4","165"
"consented_grp[1]/ec12","3","167"
"consented_grp[1]/ec13","4","168"
"consented_grp[1]/ec14","11","171"
"consented_grp[1]/ec15","4","180"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","96","183"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","96","183"
"consented_grp[1]/ucd2_grp[1]/ucd2a","96","183"
"consented_grp[1]/ucd2_grp[1]/ucb2b","96","183"
"consented_grp[1]/ucd2_grp[1]/ucb2c","96","183"
"consented_grp[1]/ucd2_grp[1]/ucb2d","96","183"
"consented_grp[1]/ucd2_grp[1]/ucb2e","96","183"
"consented_grp[1]/ucd2_grp[1]/ucb2f","96","183"
"consented_grp[1]/ucd2_grp[1]/ucb2g","96","183"
"consented_grp[1]/ucd2_grp[1]/ucb2h","96","183"
"consented_grp[1]/ucd2_grp[1]/ucb2i","96","183"
"consented_grp[1]/ucd2_grp[1]/ucb2j","96","183"
"consented_grp[1]/ucd3","4","279"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","7","282"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","7","282"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","7","282"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","7","282"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","7","282"
"consented_grp[1]/ucf_grp[1]/ucf5","3","288"
"consented_grp[1]/ucf_grp[1]/ucf7b","2","290"
"consented_grp[1]/ucf_grp[1]/ucf9b","3","291"
"consented_grp[1]/ucf_grp[1]/ucf13","27","293"
"consented_grp[1]/ucf_grp[1]/ucf14","17","319"
"consented_grp[1]/ucf_grp[1]/ucf15","10","335"
"consented_grp[1]/ucf_grp[1]/ucf16","18","344"
"consented_grp[1]/ucf_grp[1]/ucf17","28","361"
"consented_grp[1]/ucf_grp[1]/ucf18","7","388"
"consented_grp[1]/ucf_grp[1]/ucf19","33","393"
"consented_grp[1]/bd_grp[1]/bd2","5","426"
"consented_grp[1]/bd_grp[1]/bd3","5","430"
"consented_grp[1]/bd_grp[1]/bd4","15","433"
"consented_grp[1]/bd_grp[1]/bd5","4","447"
"consented_grp[1]/bd_grp[1]/bd6","6","450"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","35","455"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","35","455"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","35","455"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","35","455"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","35","455"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","35","455"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","5","483"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","5","483"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","4","485"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","4","485"
"consented_grp[1]/bd_grp[1]/bd8","2","488"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","2","490"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","2","490"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","2","492"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","3","492"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","16","494"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","4","509"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","9","512"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","23","520"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e2","2","542"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","14","543"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","10","554"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g2","2","560"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","10","561"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","3","570"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","13","572"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j2","4","584"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","7","586"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","6","592"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","7","597"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","11","602"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m2","2","613"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","3","614"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","2","617"
"consented_grp[1]/im2","17","618"
"consented_grp[1]/im5","4","634"
"consented_grp[1]/im6_note","2","638"
"consented_grp[1]/im6_rpt[1]/im6","5","639"
"consented_grp[1]/im6_rpt[1]/im6a","13","641"
"consented_grp[1]/im6_rpt[2]/im6","2","651"
"consented_grp[1]/im6_rpt[2]/im6a","8","652"
"consented_grp[1]/im6_rpt[3]/im6","3","659"
"consented_grp[1]/im6_rpt[3]/im6a","11","660"
"consented_grp[1]/im6_rpt[4]/im6","2","670"
"consented_grp[1]/im6_rpt[4]/im6a","7","672"
"consented_grp[1]/im6_rpt[5]/im6","2","677"
"consented_grp[1]/im6_rpt[5]/im6a","7","679"
"consented_grp[1]/im6_rpt[6]/im6","2","685"
"consented_grp[1]/im6_rpt[6]/im6a","7","686"
"consented_grp[1]/im6_rpt[7]/im6","12","693"
"consented_grp[1]/im6_rpt[7]/im6a","9","704"
"consented_grp[1]/im6_rpt[8]/im6","2","709"
"consented_grp[1]/im6_rpt[8]/im6a","7","711"
"consented_grp[1]/im6_rpt[9]/im6","2","717"
"consented_grp[1]/im6_rpt[9]/im6a","8","718"
"consented_grp[1]/im6_rpt[10]/im6","3","725"
"consented_grp[1]/im6_rpt[10]/im6a","10","727"
"consented_grp[1]/im6_rpt[11]/im6","7","736"
"consented_grp[1]/im6_rpt[11]/im6a","47","738"
"consented_grp[1]/im6_rpt[12]/im6","2","787"
"consented_grp[1]/im6_rpt[12]/im6a","7","788"
"consented_grp[1]/im6_rpt[13]/im6","3","794"
"consented_grp[1]/im6_rpt[13]/im6a","7","796"
"consented_grp[1]/im6_rpt[14]/im6","6","803"
"consented_grp[1]/im6_rpt[15]/im6","3","805"
"consented_grp[1]/ca1","16","806"
"consented_grp[1]/ca3_grp[1]/ca3a_note","25","821"
"consented_grp[1]/ca3_grp[1]/ca3a","25","821"
"consented_grp[1]/ca4","13","833"
"consented_grp[1]/ca5","16","842"
"consented_grp[1]/ca7_grp[1]/ca7_note","39","848"
"consented_grp[1]/ca7_grp[1]/ca7_label","39","848"
"consented_grp[1]/ca7_grp[1]/ca7a","39","848"
"consented_grp[1]/ca7_grp[1]/ca7b","39","848"
"consented_grp[1]/ca7_grp[1]/ca7c","39","848"
"consented_grp[1]/ca7_grp[1]/ca7d","39","848"
"consented_grp[1]/ca6","40","868"
"consented_grp[1]/ca11","13","929"
"consented_grp[1]/ca12","4","939"
"consented_grp[1]/ca14","5","942"
"consented_grp[1]/ca16","3","946"
"consented_grp[1]/ca17","2","948"
"consented_grp[1]/ca31","10","949"
"consented_grp[1]/gps_backup","2","957"
"comments","786","1247"
