"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","22","11"
"comm_confirm_grp[1]/comm_details","1","33"
"comm_confirm_grp[1]/comm_confirm","1","33"
"hhid_grp[1]/hhid_instruction","7","34"
"hhid_grp[1]/hhid_struct_num","7","34"
"hhid_grp[1]/hhid_hh_num","7","34"
"hhid_confirm_grp[1]/hhid_details","1","41"
"hhid_confirm_grp[1]/hhid_confirm","1","41"
"consent_grp[1]/consent_instr","290","43"
"consent_grp[1]/consent","290","43"
"consented_grp[1]/hh_note","9","333"
"consented_grp[1]/hhm_cnt","7","342"
"consented_grp[1]/rooster_note","16","349"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","16","365"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","16","365"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","16","365"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","381"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","383"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","386"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","26","389"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","3","415"
"consented_grp[1]/hhm_rpt[1]/ed4","3","417"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","3","420"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","5","423"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","4","428"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","3","432"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","3","432"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","16","435"
