"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","7","7"
"comm_confirm_grp[1]/comm_details","1","14"
"comm_confirm_grp[1]/comm_confirm","1","14"
"hhid_grp[1]/hhid_instruction","68","15"
"hhid_grp[1]/hhid_struct_num","68","15"
"hhid_grp[1]/hhid_hh_num","68","15"
"hhid_confirm_grp[1]/hhid_details","1","83"
"hhid_confirm_grp[1]/hhid_confirm","1","83"
"consent_grp[1]/consent_instr","104","84"
"consent_grp[1]/consent","104","84"
"consented_grp[1]/hh_note","2","188"
"consented_grp[1]/hhm_cnt","17","190"
"consented_grp[1]/rooster_note","8","206"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","214"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","214"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","214"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","229"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","1","230"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","231"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","1","232"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","2","234"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","1","236"
"consented_grp[1]/hhm_rpt[1]/ed4","2","237"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","240"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","240"
