"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","4","2"
"enum_id","39","3"
"enum_confirm_grp[1]/enum_details","7","9"
"enum_confirm_grp[1]/enum_confirm","7","9"
"community_id","8","10"
"comm_confirm_grp[1]/comm_details","6","16"
"comm_confirm_grp[1]/comm_confirm","6","16"
"u5_iden_grp[1]/u5_id","423","18"
"u5_iden_grp[1]/u5_fullname","423","18"
"u5_iden_grp[1]/u5_age","423","18"
"u5_iden_grp[1]/u5_ct_id","423","18"
"u5_iden_grp[1]/u5_ct_fullname","423","18"
"uf9","5","99"
"consent_grp[1]/consent","4","102"
"consented_grp[1]/ub0","40","104"
"consented_grp[1]/ub1_age_sel","9","143"
"consented_grp[1]/ub1_dob_dmy","41","148"
"consented_grp[1]/ub5","55","179"
"consented_grp[1]/ub9","36","186"
"consented_grp[1]/ub8b","16","202"
"consented_grp[1]/br1","15","245"
"consented_grp[1]/br2","39","258"
"consented_grp[1]/br3","19","295"
"consented_grp[1]/ec1","11","313"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","99","322"
"consented_grp[1]/ec2_grp[1]/ec2_label","99","322"
"consented_grp[1]/ec2_grp[1]/ec2a","99","322"
"consented_grp[1]/ec2_grp[1]/ec2b","99","322"
"consented_grp[1]/ec2_grp[1]/ec2c","99","322"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","62","401"
"consented_grp[1]/ec3_grp[1]/ec3a","62","401"
"consented_grp[1]/ec3_grp[1]/ec3b","62","401"
"consented_grp[1]/ec7","10","459"
"consented_grp[1]/ec8","8","462"
"consented_grp[1]/ec9","22","464"
"consented_grp[1]/ec10","14","476"
"consented_grp[1]/ec11","15","496"
"consented_grp[1]/ec12","28","508"
"consented_grp[1]/ec13","28","525"
"consented_grp[1]/ec14","15","537"
"consented_grp[1]/ec15","24","546"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","234","565"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","234","565"
"consented_grp[1]/ucd2_grp[1]/ucd2a","234","565"
"consented_grp[1]/ucd2_grp[1]/ucb2b","234","565"
"consented_grp[1]/ucd2_grp[1]/ucb2c","234","565"
"consented_grp[1]/ucd2_grp[1]/ucb2d","234","565"
"consented_grp[1]/ucd2_grp[1]/ucb2e","234","565"
"consented_grp[1]/ucd2_grp[1]/ucb2f","234","565"
"consented_grp[1]/ucd2_grp[1]/ucb2g","234","565"
"consented_grp[1]/ucd2_grp[1]/ucb2h","234","565"
"consented_grp[1]/ucd2_grp[1]/ucb2i","234","565"
"consented_grp[1]/ucd2_grp[1]/ucb2j","234","565"
"consented_grp[1]/ucd2_grp[1]/ucb2k","234","565"
"consented_grp[1]/ucd3","52","783"
