"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","4","7"
"comm_confirm_grp[1]/comm_details","1","12"
"comm_confirm_grp[1]/comm_confirm","1","12"
"hhid_grp[1]/hhid_instruction","4","13"
"hhid_grp[1]/hhid_struct_num","4","13"
"hhid_grp[1]/hhid_hh_num","4","13"
"hhid_confirm_grp[1]/hhid_details","1","17"
"hhid_confirm_grp[1]/hhid_confirm","1","17"
"consent_grp[1]/consent_instr","69","18"
"consent_grp[1]/consent","69","18"
"consented_grp[1]/hh_note","1","87"
"consented_grp[1]/hhm_cnt","1","88"
"consented_grp[1]/rooster_note","1","89"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","15","90"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","15","90"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","15","90"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","105"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","1","106"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","1","107"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","5","109"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","1","114"
"consented_grp[1]/hhm_rpt[1]/ed4","1","115"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","1","116"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","1","117"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","1","119"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","5","120"
