"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","11","4"
"enum_confirm_grp[1]/enum_details","2","15"
"enum_confirm_grp[1]/enum_confirm","2","15"
"community_id","20","17"
"comm_confirm_grp[1]/comm_details","2","37"
"comm_confirm_grp[1]/comm_confirm","2","37"
"u5_iden_grp[1]/u5_id","68","39"
"u5_iden_grp[1]/u5_fullname","68","39"
"u5_iden_grp[1]/u5_age","68","39"
"u5_iden_grp[1]/u5_ct_id","68","39"
"u5_iden_grp[1]/u5_ct_fullname","68","39"
"uf9","2","107"
"consent_grp[1]/consent","2","109"
"consented_grp[1]/ub0","2","110"
"consented_grp[1]/ub1_age_sel","3","113"
"consented_grp[1]/ub1_dob_dmy","27","116"
"consented_grp[1]/ub5","3","143"
"consented_grp[1]/ub6","6","146"
"consented_grp[1]/ub9","2","151"
"consented_grp[1]/br1","10","153"
"consented_grp[1]/ec1","9","163"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","21","172"
"consented_grp[1]/ec2_grp[1]/ec2_label","21","172"
"consented_grp[1]/ec2_grp[1]/ec2a","21","172"
"consented_grp[1]/ec2_grp[1]/ec2b","21","172"
"consented_grp[1]/ec2_grp[1]/ec2c","21","172"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","26","193"
"consented_grp[1]/ec3_grp[1]/ec3a","26","193"
"consented_grp[1]/ec3_grp[1]/ec3b","26","193"
"consented_grp[1]/ec5_grp[1]/ec5","66","220"
"consented_grp[1]/ec5_grp[1]/ec5_label","66","220"
"consented_grp[1]/ec5_grp[1]/ec5a","66","220"
"consented_grp[1]/ec5_grp[1]/ec5b","66","220"
"consented_grp[1]/ec5_grp[1]/ec5c","66","220"
"consented_grp[1]/ec5_grp[1]/ec5d","66","220"
"consented_grp[1]/ec5_grp[1]/ec5e","66","220"
"consented_grp[1]/ec5_grp[1]/ec5f","66","220"
"consented_grp[1]/ec6_grp[1]/ec6_note","3","286"
"consented_grp[1]/ec6_grp[1]/ec6","3","286"
"consented_grp[1]/ec7","1","289"
"consented_grp[1]/ec8","3","291"
"consented_grp[1]/ec9","3","293"
"consented_grp[1]/ec10","4","296"
"consented_grp[1]/ec11","3","300"
"consented_grp[1]/ec12","4","303"
"consented_grp[1]/ec13","6","307"
"consented_grp[1]/ec14","9","313"
"consented_grp[1]/ec15","10","322"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","130","332"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","130","332"
"consented_grp[1]/ucd2_grp[1]/ucd2a","130","332"
"consented_grp[1]/ucd2_grp[1]/ucb2b","130","332"
"consented_grp[1]/ucd2_grp[1]/ucb2c","130","332"
"consented_grp[1]/ucd2_grp[1]/ucb2d","130","332"
"consented_grp[1]/ucd2_grp[1]/ucb2e","130","332"
"consented_grp[1]/ucd2_grp[1]/ucb2f","130","332"
"consented_grp[1]/ucd2_grp[1]/ucb2g","130","332"
"consented_grp[1]/ucd2_grp[1]/ucb2h","130","332"
"consented_grp[1]/ucd2_grp[1]/ucb2i","130","332"
"consented_grp[1]/ucd2_grp[1]/ucb2j","130","332"
"consented_grp[1]/ucd2_grp[1]/ucb2k","130","332"
"consented_grp[1]/ucd3","27","462"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","12","489"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","12","489"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","12","489"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","12","489"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","12","489"
"consented_grp[1]/ucf_grp[1]/ucf5","11","501"
"consented_grp[1]/ucf_grp[1]/ucf7b","6","512"
"consented_grp[1]/ucf_grp[1]/ucf9b","8","518"
"consented_grp[1]/ucf_grp[1]/ucf13","18","525"
"consented_grp[1]/ucf_grp[1]/ucf14","14","543"
"consented_grp[1]/ucf_grp[1]/ucf15","66","557"
"consented_grp[1]/ucf_grp[1]/ucf16","19","568"
"consented_grp[1]/ucf_grp[1]/ucf17","5","662"
"consented_grp[1]/ucf_grp[1]/ucf18","8","667"
"consented_grp[1]/ucf_grp[1]/ucf19","50","675"
"consented_grp[1]/im2","3","725"
"consented_grp[1]/im5","4","728"
"consented_grp[1]/im6_note","1","732"
"consented_grp[1]/im6_rpt[1]/im6","2","733"
"consented_grp[1]/im6_rpt[1]/im6a","26","735"
"consented_grp[1]/im6_rpt[2]/im6","2","761"
"consented_grp[1]/im6_rpt[2]/im6a","14","763"
"consented_grp[1]/im6_rpt[3]/im6","2","777"
"consented_grp[1]/im6_rpt[3]/im6a","10","779"
"consented_grp[1]/im6_rpt[4]/im6","2","789"
"consented_grp[1]/im6_rpt[4]/im6a","7","791"
"consented_grp[1]/im6_rpt[5]/im6","2","798"
"consented_grp[1]/im6_rpt[5]/im6a","6","799"
"consented_grp[1]/im6_rpt[6]/im6","2","805"
"consented_grp[1]/im6_rpt[6]/im6a","9","807"
"consented_grp[1]/im6_rpt[7]/im6","2","816"
"consented_grp[1]/im6_rpt[7]/im6a","11","817"
"consented_grp[1]/im6_rpt[8]/im6","1","828"
"consented_grp[1]/im6_rpt[8]/im6a","5","830"
"consented_grp[1]/im6_rpt[9]/im6","2","835"
"consented_grp[1]/im6_rpt[9]/im6a","5","837"
"consented_grp[1]/im6_rpt[10]/im6","2","843"
"consented_grp[1]/im6_rpt[10]/im6a","9","845"
"consented_grp[1]/im6_rpt[11]/im6","7","850"
"consented_grp[1]/im6_rpt[11]/im6a","15","855"
"consented_grp[1]/im6_rpt[12]/im6","4","867"
"consented_grp[1]/im6_rpt[12]/im6a","16","869"
"consented_grp[1]/im6_rpt[13]/im6","6","879"
"consented_grp[1]/im6_rpt[13]/im6a","14","881"
"consented_grp[1]/im6_rpt[14]/im6","3","915"
"consented_grp[1]/im6_rpt[14]/im6a","13","919"
"consented_grp[1]/im6_rpt[15]/im6","2","932"
"consented_grp[1]/im6_rpt[15]/im6a","9","933"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","18","942"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","18","942"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","18","942"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","18","942"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","18","942"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","18","942"
"consented_grp[1]/im8_im27_grp[1]/im9","2","960"
"consented_grp[1]/ca1","9","962"
"consented_grp[1]/ca14","5","971"
"consented_grp[1]/ca16","8","974"
"consented_grp[1]/ca15","5","979"
"consented_grp[1]/ca17","10","989"
"consented_grp[1]/ca18","5","999"
"consented_grp[1]/ca20","3","1004"
"consented_grp[1]/ca21","20","1007"
"consented_grp[1]/ca22","7","1025"
"comments","10","1034"
