"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","1"
"enum_id","4","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","6","8"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"u5_iden_grp[1]/u5_id","49","16"
"u5_iden_grp[1]/u5_fullname","49","16"
"u5_iden_grp[1]/u5_age","49","16"
"u5_iden_grp[1]/u5_ct_id","49","16"
"u5_iden_grp[1]/u5_ct_fullname","49","16"
"uf9","3","65"
"consent_grp[1]/consent","2","68"
"consented_grp[1]/ub0","1","70"
"consented_grp[1]/ub1_age_sel","1","70"
"consented_grp[1]/ub1_dob_dmy","11","72"
"consented_grp[1]/ub5","1","82"
"consented_grp[1]/ub9","2","84"
"consented_grp[1]/br1","2","85"
"consented_grp[1]/br2","14","88"
"consented_grp[1]/br3","2","102"
"consented_grp[1]/ec1","6","103"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","28","110"
"consented_grp[1]/ec2_grp[1]/ec2_label","28","110"
"consented_grp[1]/ec2_grp[1]/ec2a","28","110"
"consented_grp[1]/ec2_grp[1]/ec2b","28","110"
"consented_grp[1]/ec2_grp[1]/ec2c","28","110"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","43","137"
"consented_grp[1]/ec3_grp[1]/ec3a","43","137"
"consented_grp[1]/ec3_grp[1]/ec3b","43","137"
"consented_grp[1]/ec7","2","180"
"consented_grp[1]/ec8","1","182"
"consented_grp[1]/ec9","2","183"
"consented_grp[1]/ec10","9","185"
"consented_grp[1]/ec11","3","194"
"consented_grp[1]/ec12","2","197"
"consented_grp[1]/ec13","2","199"
"consented_grp[1]/ec14","8","201"
"consented_grp[1]/ec15","7","208"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","127","215"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","127","215"
"consented_grp[1]/ucd2_grp[1]/ucd2a","127","215"
"consented_grp[1]/ucd2_grp[1]/ucb2b","127","215"
"consented_grp[1]/ucd2_grp[1]/ucb2c","127","215"
"consented_grp[1]/ucd2_grp[1]/ucb2d","127","215"
"consented_grp[1]/ucd2_grp[1]/ucb2e","127","215"
"consented_grp[1]/ucd2_grp[1]/ucb2f","127","215"
"consented_grp[1]/ucd2_grp[1]/ucb2g","127","215"
"consented_grp[1]/ucd2_grp[1]/ucb2h","127","215"
"consented_grp[1]/ucd2_grp[1]/ucb2i","127","215"
"consented_grp[1]/ucd2_grp[1]/ucb2j","127","215"
"consented_grp[1]/ucd3","12","343"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","6","355"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","6","355"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","6","355"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","6","355"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","6","355"
"consented_grp[1]/ucf_grp[1]/ucf5","1","361"
"consented_grp[1]/ucf_grp[1]/ucf7b","1","362"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","363"
"consented_grp[1]/ucf_grp[1]/ucf13","1","364"
"consented_grp[1]/ucf_grp[1]/ucf14","1","366"
"consented_grp[1]/ucf_grp[1]/ucf15","2","367"
"consented_grp[1]/ucf_grp[1]/ucf16","3","369"
"consented_grp[1]/ucf_grp[1]/ucf17","1","371"
"consented_grp[1]/ucf_grp[1]/ucf18","1","372"
"consented_grp[1]/ucf_grp[1]/ucf19","8","374"
"consented_grp[1]/bd_grp[1]/bd2","9","382"
"consented_grp[1]/bd_grp[1]/bd3","14","384"
"consented_grp[1]/bd_grp[1]/bd4","14","405"
"consented_grp[1]/bd_grp[1]/bd5","2","419"
"consented_grp[1]/bd_grp[1]/bd6","7","421"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","14","427"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","14","427"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","14","427"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","14","427"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","14","427"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","14","427"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","2","442"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","2","442"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","2","444"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","2","444"
"consented_grp[1]/bd_grp[1]/bd8","2","446"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","2","448"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","2","449"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","2","451"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","2","453"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","5","455"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","2","460"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","13","462"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","10","475"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e2","1","486"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","5","487"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f2","1","492"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","4","493"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","8","497"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","7","504"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","4","511"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","4","515"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","4","519"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","2","523"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","6","525"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","1","531"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","2","533"
"consented_grp[1]/im2","2","534"
"consented_grp[1]/im5","3","537"
