"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","1"
"enum_id","6","2"
"enum_confirm_grp[1]/enum_details","3","4"
"enum_confirm_grp[1]/enum_confirm","3","4"
"community_id","7","5"
"comm_confirm_grp[1]/comm_details","3","10"
"comm_confirm_grp[1]/comm_confirm","3","10"
"hhid_grp[1]/hhid_instruction","9","11"
"hhid_grp[1]/hhid_struct_num","9","11"
"hhid_grp[1]/hhid_hh_num","9","11"
"hhid_confirm_grp[1]/hhid_details","3","17"
"hhid_confirm_grp[1]/hhid_confirm","3","17"
"consent_grp[1]/consent_instr","311","18"
"consent_grp[1]/consent","311","18"
"consented_grp[1]/hh_note","4","327"
"consented_grp[1]/hhm_cnt","39","329"
"consented_grp[1]/rooster_note","20","345"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","28","347"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","28","347"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","28","347"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","5","366"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","368"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","369"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","101","370"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","7","393"
"consented_grp[1]/hhm_rpt[1]/ed4","11","395"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","66","397"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","66","397"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","34","446"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","34","446"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","34","446"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","7","473"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","3","478"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","3","479"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","34","481"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","6","499"
"consented_grp[1]/hhm_rpt[2]/ed4","11","500"
