"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","5","4"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","9","9"
"comm_confirm_grp[1]/comm_details","1","18"
"comm_confirm_grp[1]/comm_confirm","1","18"
"u5_iden_grp[1]/u5_id","42","19"
"u5_iden_grp[1]/u5_fullname","42","19"
"u5_iden_grp[1]/u5_age","42","19"
"u5_iden_grp[1]/u5_ct_id","42","19"
"u5_iden_grp[1]/u5_ct_fullname","42","19"
"uf9","2","62"
"consent_grp[1]/consent","2","63"
"consented_grp[1]/ub0","1","66"
"consented_grp[1]/ub1_age_sel","2","67"
"consented_grp[1]/ub1_dob_dmy","10","69"
"consented_grp[1]/ub5","2","79"
"consented_grp[1]/ub9","7","81"
"consented_grp[1]/br1","5","88"
"consented_grp[1]/br2","6","93"
"consented_grp[1]/br3","4","99"
"consented_grp[1]/ec1","6","103"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","19","109"
"consented_grp[1]/ec2_grp[1]/ec2_label","19","109"
"consented_grp[1]/ec2_grp[1]/ec2a","19","109"
"consented_grp[1]/ec2_grp[1]/ec2b","19","109"
"consented_grp[1]/ec2_grp[1]/ec2c","19","109"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","39","128"
"consented_grp[1]/ec3_grp[1]/ec3a","39","128"
"consented_grp[1]/ec3_grp[1]/ec3b","39","128"
"consented_grp[1]/ec7","6","167"
"consented_grp[1]/ec8","2","173"
"consented_grp[1]/ec9","3","175"
"consented_grp[1]/ec10","8","178"
"consented_grp[1]/ec11","9","186"
"consented_grp[1]/ec12","9","195"
"consented_grp[1]/ec13","5","204"
"consented_grp[1]/ec14","6","209"
"consented_grp[1]/ec15","8","215"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","86","224"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","86","224"
"consented_grp[1]/ucd2_grp[1]/ucd2a","86","224"
"consented_grp[1]/ucd2_grp[1]/ucb2b","86","224"
"consented_grp[1]/ucd2_grp[1]/ucb2c","86","224"
"consented_grp[1]/ucd2_grp[1]/ucb2d","86","224"
"consented_grp[1]/ucd2_grp[1]/ucb2e","86","224"
"consented_grp[1]/ucd2_grp[1]/ucb2f","86","224"
"consented_grp[1]/ucd2_grp[1]/ucb2g","86","224"
"consented_grp[1]/ucd2_grp[1]/ucb2h","86","224"
"consented_grp[1]/ucd2_grp[1]/ucb2i","86","224"
"consented_grp[1]/ucd2_grp[1]/ucb2j","86","224"
"consented_grp[1]/ucd3","10","309"
