"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","2"
"enum_id","10","4"
"enum_confirm_grp[1]/enum_details","17","9"
"enum_confirm_grp[1]/enum_confirm","17","9"
"community_id","154","10"
"comm_confirm_grp[1]/comm_details","2","153"
"comm_confirm_grp[1]/comm_confirm","2","153"
"hhid_grp[1]/hhid_instruction","10","154"
"hhid_grp[1]/hhid_struct_num","10","154"
"hhid_grp[1]/hhid_hh_num","10","154"
"hhid_confirm_grp[1]/hhid_details","1","163"
"hhid_confirm_grp[1]/hhid_confirm","1","163"
"consent_grp[1]/consent_instr","121","164"
"consent_grp[1]/consent","121","164"
"consented_grp[1]/hh_note","2","284"
"consented_grp[1]/hhm_cnt","18","285"
"consented_grp[1]/rooster_note","2","302"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","40","303"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","40","303"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","40","303"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","342"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","344"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","1","345"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","21","346"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","2","367"
"consented_grp[1]/hhm_rpt[1]/ed4","3","368"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","8","371"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","8","371"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","13","378"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","13","378"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","13","378"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","4","392"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","1","393"
