"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","14","7"
"comm_confirm_grp[1]/comm_details","1","21"
"comm_confirm_grp[1]/comm_confirm","1","21"
"u5_iden_grp[1]/u5_id","38","22"
"u5_iden_grp[1]/u5_fullname","38","22"
"u5_iden_grp[1]/u5_age","38","22"
"u5_iden_grp[1]/u5_ct_id","38","22"
"u5_iden_grp[1]/u5_ct_fullname","38","22"
"uf9","1","60"
"consent_grp[1]/consent","1","61"
"consented_grp[1]/ub0","1","62"
"consented_grp[1]/ub1_age_sel","1","63"
"consented_grp[1]/ub1_dob_dmy","9","64"
"consented_grp[1]/ub5","2","73"
"consented_grp[1]/ub8b","1","75"
"consented_grp[1]/ub9","1","76"
"consented_grp[1]/br1","7","77"
"consented_grp[1]/ec1","14","83"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","17","97"
"consented_grp[1]/ec2_grp[1]/ec2_label","17","97"
"consented_grp[1]/ec2_grp[1]/ec2a","17","97"
"consented_grp[1]/ec2_grp[1]/ec2b","17","97"
"consented_grp[1]/ec2_grp[1]/ec2c","17","97"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","15","114"
"consented_grp[1]/ec3_grp[1]/ec3a","15","114"
"consented_grp[1]/ec3_grp[1]/ec3b","15","114"
"consented_grp[1]/ec5_grp[1]/ec5","53","130"
"consented_grp[1]/ec5_grp[1]/ec5_label","53","130"
"consented_grp[1]/ec5_grp[1]/ec5a","53","130"
"consented_grp[1]/ec5_grp[1]/ec5b","53","130"
"consented_grp[1]/ec5_grp[1]/ec5c","53","130"
"consented_grp[1]/ec5_grp[1]/ec5d","53","130"
"consented_grp[1]/ec5_grp[1]/ec5e","53","130"
"consented_grp[1]/ec5_grp[1]/ec5f","53","130"
"consented_grp[1]/ec6_grp[1]/ec6_note","12","183"
