"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","40"
"enum_id","53","41"
"enum_confirm_grp[1]/enum_details","1","94"
"enum_confirm_grp[1]/enum_confirm","1","94"
"community_id","19","96"
"comm_confirm_grp[1]/comm_details","11","101"
"comm_confirm_grp[1]/comm_confirm","11","101"
"u5_iden_grp[1]/u5_id","139","106"
"u5_iden_grp[1]/u5_fullname","139","106"
"u5_iden_grp[1]/u5_age","139","106"
"u5_iden_grp[1]/u5_ct_id","139","106"
"u5_iden_grp[1]/u5_ct_fullname","139","106"
"u5_check","17","228"
"gmobs1","5","282"
"gmobs2","2","287"
"an8","9","288"
"an9","2","297"
"an11_grp[1]/an11_b","5","299"
"an11_grp[1]/an11","5","299"
"an12","3","304"
"an13","3","307"
"an15","1","310"
