"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","8","8"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"iw_iden_grp[1]/iw_id","41","17"
"iw_iden_grp[1]/iw_fullname","41","17"
"iw_iden_grp[1]/iw_age","41","17"
"wm8","2","58"
"wm9_grp[1]/wm9b","2","60"
"wm9_grp[1]/consent","2","60"
"consented_grp[1]/wb3_age_sel","2","62"
"consented_grp[1]/wb4_age_est","2","64"
"consented_grp[1]/wb5","2","66"
"consented_grp[1]/wb14_grp[1]/wb14_note","5","69"
"consented_grp[1]/wb14_grp[1]/wb14","5","69"
"consented_grp[1]/wb15","20","74"
"consented_grp[1]/wb18","2","93"
"consented_grp[1]/mt1","3","96"
"consented_grp[1]/mt2","2","98"
"consented_grp[1]/mt3","2","101"
"consented_grp[1]/mt4","3","102"
"consented_grp[1]/mt9","2","105"
"consented_grp[1]/mt11","5","107"
"consented_grp[1]/mt12","3","112"
"consented_grp[1]/cm1","2","115"
"consented_grp[1]/cm2","2","117"
"consented_grp[1]/cm2_grp[1]/cm3","7","119"
"consented_grp[1]/cm2_grp[1]/cm4","7","119"
"consented_grp[1]/cm5","2","127"
"consented_grp[1]/cm5_grp[1]/cm6","16","129"
"consented_grp[1]/cm5_grp[1]/cm7","16","129"
"consented_grp[1]/cm8","3","145"
"consented_grp[1]/cm12","7","147"
"consented_grp[1]/bh0","2","154"
"consented_grp[1]/bh_rpt[1]/bh1","17","156"
"consented_grp[1]/bh_rpt[1]/bh2","1","173"
"consented_grp[1]/bh_rpt[1]/bh3","1","175"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","3","176"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","1","177"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","30","180"
"consented_grp[1]/bh_rpt[1]/bh5","3","210"
"consented_grp[1]/bh_rpt[1]/bh6","4","213"
"consented_grp[1]/bh_rpt[1]/bh7","2","217"
"consented_grp[1]/bh_rpt[1]/bh10","2","219"
"consented_grp[1]/bh_rpt[2]/bh1","9","220"
"consented_grp[1]/bh_rpt[2]/bh2","2","230"
"consented_grp[1]/bh_rpt[2]/bh3","3","231"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","2","234"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","31","237"
"consented_grp[1]/bh_rpt[2]/bh5","2","268"
"consented_grp[1]/bh_rpt[2]/bh6","4","270"
