"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","29","3"
"enum_confirm_grp[1]/enum_details","6","9"
"enum_confirm_grp[1]/enum_confirm","6","9"
"community_id","15","10"
"comm_confirm_grp[1]/comm_details","49","17"
"comm_confirm_grp[1]/comm_confirm","49","17"
"iw_iden_grp[1]/iw_id","247","18"
"iw_iden_grp[1]/iw_fullname","236","18"
"iw_iden_grp[1]/iw_age","236","18"
"wm8","2","71"
"wm9_grp[1]/wm9b","2","73"
"wm9_grp[1]/consent","2","73"
"consented_grp[1]/wb3_age_sel","7","74"
"consented_grp[1]/wb4_age_est","2","82"
"consented_grp[1]/wb5","3","84"
"consented_grp[1]/wb5_grp[1]/wb6","4","87"
"consented_grp[1]/wb5_grp[1]/wb6a","7","89"
"consented_grp[1]/wb5_grp[1]/wb6b","4","92"
"consented_grp[1]/wb5_grp[1]/wb7","7","103"
"consented_grp[1]/wb5_grp[1]/wb10a","2","109"
"consented_grp[1]/wb5_grp[1]/wb10b","1","112"
"consented_grp[1]/wb5_grp[1]/wb12a","2","113"
"consented_grp[1]/wb5_grp[1]/wb12b","1","115"
"consented_grp[1]/wb15","12","116"
"consented_grp[1]/wb16_grp[1]/wb16a","20","128"
"consented_grp[1]/wb16_grp[1]/wb16_note","20","128"
"consented_grp[1]/wb16_grp[1]/wb16b","20","128"
"consented_grp[1]/wb17a","5","145"
"consented_grp[1]/wb17b","41","148"
"consented_grp[1]/wb18","9","150"
"consented_grp[1]/mt1","72","152"
"consented_grp[1]/mt2","20","274"
"consented_grp[1]/mt3","3","293"
"consented_grp[1]/mt4","20","296"
"consented_grp[1]/mt9","16","307"
"consented_grp[1]/mt11","4","333"
"consented_grp[1]/mt12","18","337"
"consented_grp[1]/cm1","148","355"
"consented_grp[1]/cm2","7","503"
"consented_grp[1]/cm2_grp[1]/cm3","11","509"
"consented_grp[1]/cm2_grp[1]/cm4","11","509"
"consented_grp[1]/cm5","283","518"
"consented_grp[1]/cm5_grp[1]/cm6","7","804"
"consented_grp[1]/cm5_grp[1]/cm7","7","804"
"consented_grp[1]/cm8","4","811"
"consented_grp[1]/cm12","3","814"
"consented_grp[1]/bh0","1","817"
"consented_grp[1]/bh_rpt[1]/bh1","7","819"
"consented_grp[1]/bh_rpt[1]/bh2","2","826"
"consented_grp[1]/bh_rpt[1]/bh3","2","827"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","4","829"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","27","833"
"consented_grp[1]/bh_rpt[1]/bh5","2","860"
"consented_grp[1]/bh_rpt[1]/bh6","4","862"
"consented_grp[1]/bh_rpt[1]/bh7","5","866"
"consented_grp[1]/bh_rpt[1]/bh8","20","871"
"consented_grp[1]/bh_rpt[1]/bh10","5","891"
"consented_grp[1]/bh_rpt[2]/bh1","9","896"
"consented_grp[1]/bh_rpt[2]/bh2","2","905"
"consented_grp[1]/bh_rpt[2]/bh3","3","907"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","2","910"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","14","912"
"consented_grp[1]/bh_rpt[2]/bh5","2","926"
"consented_grp[1]/bh_rpt[2]/bh6","4","928"
"consented_grp[1]/bh_rpt[2]/bh7","5","932"
"consented_grp[1]/bh_rpt[2]/bh8","8","937"
"consented_grp[1]/bh_rpt[2]/bh10","2","945"
"consented_grp[1]/bh_rpt[3]/bh1","10","947"
"consented_grp[1]/bh_rpt[3]/bh2","3","958"
"consented_grp[1]/bh_rpt[3]/bh3","2","961"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","2","963"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","21","965"
"consented_grp[1]/bh_rpt[3]/bh5","3","985"
"consented_grp[1]/bh_rpt[3]/bh6","2","988"
"consented_grp[1]/bh_rpt[3]/bh7","4","991"
"consented_grp[1]/bh_rpt[3]/bh10","2","994"
"consented_grp[1]/bh_rpt[4]/bh1","9","996"
"consented_grp[1]/bh_rpt[4]/bh2","2","1006"
"consented_grp[1]/bh_rpt[4]/bh3","2","1007"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","2","1009"
"consented_grp[1]/bh_rpt[4]/bh4_dob_my","15","1011"
"consented_grp[1]/bh_rpt[4]/bh5","2","1026"
"consented_grp[1]/bh_rpt[4]/bh6","4","1028"
"consented_grp[1]/bh_rpt[4]/bh7","6","1032"
"consented_grp[1]/bh_rpt[4]/bh10","2","1039"
"consented_grp[1]/bh_rpt[5]/bh1","10","1041"
"consented_grp[1]/bh_rpt[5]/bh2","2","1050"
"consented_grp[1]/bh_rpt[5]/bh3","2","1052"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","2","1054"
