"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","4","3"
"enum_id","10","5"
"enum_confirm_grp[1]/enum_details","2","13"
"enum_confirm_grp[1]/enum_confirm","2","13"
"community_id","9","14"
"comm_confirm_grp[1]/comm_details","3","22"
"comm_confirm_grp[1]/comm_confirm","3","22"
"hhid_grp[1]/hhid_instruction","15","23"
"hhid_grp[1]/hhid_struct_num","15","23"
"hhid_grp[1]/hhid_hh_num","15","23"
"hhid_confirm_grp[1]/hhid_details","5","36"
"hhid_confirm_grp[1]/hhid_confirm","5","36"
"consent_grp[1]/consent_instr","13","39"
"consent_grp[1]/consent","13","39"
"consented_grp[1]/hh_note","10","45"
"consented_grp[1]/hhm_cnt","5","48"
"consented_grp[1]/rooster_note","5","51"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","35","53"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","35","53"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","35","53"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","5","83"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","86"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","5","88"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","19","92"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","9","110"
"consented_grp[1]/hhm_rpt[1]/ed4","6","116"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","15","121"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","4","135"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","3","137"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","5","138"
"consented_grp[1]/hhm_rpt[1]/ed9","7","143"
"consented_grp[1]/hhm_rpt[1]/ed15","5","149"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","5","152"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","5","152"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","28","154"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","28","154"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","28","154"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","11","178"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","3","187"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","4","189"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","33","192"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","11","213"
"consented_grp[1]/hhm_rpt[2]/ed4","14","229"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","3","242"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","4","244"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","3","246"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","7","248"
"consented_grp[1]/hhm_rpt[2]/ed9","9","255"
"consented_grp[1]/hhm_rpt[2]/ed15","3","258"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","4","260"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","4","260"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","23","262"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","23","262"
